,Coordinates,Longitude,Latitude
0,"[150.81385, -33.78828]",150.81385,-33.78828
1,"[150.83625, -33.79275]",150.83625,-33.79275
2,"[150.99158, -33.8258]",150.99158,-33.8258
3,"[151.08569, -33.86288]",151.08569,-33.86288
4,"[151.16604, -33.87399]",151.16604,-33.87399
