,January,February,March,April,May,June,July,August,September,October,November,December
0,661.0550116437063,738.338948958565,973.5783132196482,803.478338429273,953.2335917741887,816.4022579622322,807.5438258539073,808.612902140852,913.2287667021463,923.8697251284377,909.6278725634801,752.6124100896056
1,704.3614761815707,737.0430596689821,978.3110257805516,1015.5384022615281,714.1339071649874,847.0587548318624,804.8859828343915,609.5709729548644,1005.8603260003761,1001.1527322532471,880.3494358742321,780.6241765560906
2,918.7941549182618,733.0442799131793,897.6688828232693,790.3531602950501,940.4697760071768,855.1779726823596,717.9102279061776,910.6350473647382,1003.4290734097465,952.5066717535416,852.7201747144661,691.5583498555063
3,762.4921868921429,739.7962429541703,937.1684482734303,1019.1886692943804,671.6458206226745,844.576061465152,573.232241473227,856.3342953586459,879.525331526261,1009.2340070364346,889.8165625495574,718.7277165221193
4,672.6718999678468,744.3782315967337,897.2603982831956,1019.8587516282641,908.3149819540697,834.2067251530182,829.7455369358198,850.7588568469848,1023.5752134625993,984.6645008500624,875.9462252438864,735.645017490984
5,703.014919546219,770.4802420984612,913.4909962653751,1011.2313985903381,876.6198527893835,841.8343796954726,844.7065336112286,792.6493869530864,1031.5210262649587,990.2542935002539,904.0223011716496,694.7690083093088
6,647.0541212427066,847.3992732249535,925.0655532832868,997.7718322720906,926.7535258952471,830.8494717104467,845.3307499736743,664.0912910982278,515.8237069939487,989.5548255193003,984.9988260772413,910.318888962242
7,776.0236806691104,794.6664333751236,947.2661007357383,993.2445054566717,896.9763982334575,851.6787960254854,811.8217734222512,913.4893741621654,707.6981295839859,985.4259676845253,865.3898322870127,836.1334640169173
8,659.6651682312014,782.7410285706461,935.4347112704188,1014.1960518231663,823.8391080754055,744.3211397346978,629.0941511024256,772.4657321670286,890.8935863095295,951.9431690448941,925.9552422005647,733.7801615966251
9,659.6859961884971,785.7354026921141,973.4305965231954,720.1122051669413,901.1638194714783,609.9883958362076,673.910379540399,949.4855888229127,586.3172532353583,989.3267056942929,937.2381576328563,723.5496684343574
10,796.2013013072657,802.8033459556998,1004.7436134241684,925.2273088685481,905.4560945756583,835.3779196572884,801.7220419202222,611.4834238249435,828.8224986851471,975.9453742581444,1001.986698777981,957.1487494269458
11,539.3118150357433,808.3337970555776,960.2671714817337,1004.4349973148032,904.9282515085486,806.2064130744535,859.6577928671303,646.9986430289562,1015.0899449046098,957.6149999139781,898.2248050416283,738.811840500033
12,944.1896629784326,832.8990567763082,941.3062999819429,998.2962891277305,546.3102778090898,312.64486753251936,805.4335703036382,812.0235533715683,999.6539127086423,1031.5122710768428,872.8889739095215,860.0188245708499
13,789.5569939715457,878.3602312143115,965.278687148779,993.8123056298537,422.62778940900796,825.5603610039374,792.0383162133112,770.4469556690872,990.7327483549517,948.2505862989725,937.6306343463596,673.9828551880564
14,670.3377969413767,672.4573143162037,960.7592119798128,980.1144353367764,589.2207302697083,827.8661186067435,782.1951301278341,792.6796755966543,998.7857882370507,988.1518981725454,821.4861184725843,660.2178900632482
15,700.7400666305153,960.5179139232223,952.9508925359564,811.7022501702562,820.3247184107729,829.6053487564088,870.9536663732216,786.5744231887389,821.3222835872505,981.362928960657,893.7940137825653,818.7683847361867
16,649.2125994419396,844.2959391522281,955.3400631907696,988.9362501343423,880.1991166886351,812.241654427342,877.8043672840957,896.3241081053195,987.3225157267807,970.981532416244,836.607503306704,859.6289120807401
17,818.9249538801436,872.1327806451516,964.4684008011357,713.0343655248806,891.8707880724709,814.2558124226864,875.0247933035213,919.6374993228703,1006.4793918686921,922.4015869928726,798.201548033538,844.7589205097968
18,667.8926353833841,845.030669884694,951.4661591455649,992.5504818153435,894.9869824712624,432.4861471676853,877.396756108292,703.2192317903019,964.8153561139952,961.4908819411083,980.0292883627237,818.3123423055375
19,659.5736185794274,832.1676342621611,953.5593052513046,914.9157546903292,897.4989878636782,556.8582963426622,364.1445240784811,630.5426371323533,1030.4686303392612,1011.2757167211672,874.425360849546,902.3974410627902
20,705.8788974775263,846.6287078206527,620.477923757039,970.8696001309792,856.3643209915165,724.4796541597008,783.8514982547975,887.2813840184958,914.4764308013358,956.2953235254631,880.5206649245565,694.0843534471226
21,707.7144017485616,937.5038121718434,546.5852880388312,724.2551507621719,406.1316900196036,704.1310401553288,799.840842571988,888.816113608979,914.9631834587695,863.8581070211695,719.196500278312,656.5254433471774
22,845.573805394069,891.4865372342396,676.2188500438157,862.0558800707258,528.1394606797442,818.3509437012841,871.3303252297297,987.4043261199779,977.1419412607169,1028.6125580644461,766.0061938945889,663.0267212522144
23,401.9699359439006,882.3685363152,795.4926067861079,853.4766977968559,820.5023841502866,823.4612982574432,190.12872808741656,981.4447060440757,956.1726579362056,907.1020705482733,737.4554269035286,665.6550275574648
24,835.0302586848128,879.8252134977818,1020.2045676128646,658.8526607178466,879.0381243850793,746.8539739242409,772.7668934159121,963.044561835287,901.6113513069917,908.2151336180078,730.5023509237407,668.7378334148498
25,720.7653550992534,888.829224778932,1008.6498846828365,720.2353353690552,873.3024406147376,662.919210414384,879.0545790762336,769.7759949620807,961.6128047103892,903.0215147785219,857.612538766133,690.5039089941308
26,710.5029014237859,883.9009881531452,978.8625434716657,969.8362146728048,866.8208288599939,392.03236832355077,455.39715217959116,995.2958171233669,945.958444781435,893.561171676541,764.8342054143237,674.3589402206165
27,729.8847995092166,898.362271214151,1005.4198702992603,610.5307055390318,838.6494742420144,496.3007847882598,821.7453831424024,980.8211528845288,971.9075426023938,883.1514484722976,654.3224293623111,855.9581291900902
28,854.6294393170577,749.6004513093253,1006.4866049346895,913.7120041988709,583.8633871143526,545.4594720391525,727.2580800244324,1013.1403719096777,978.7020988180107,898.3585271481013,874.256413165148,750.1507009426509
29,956.1941382375862,789.7436962932139,997.6166615757908,952.9601548597311,561.9498290309142,619.9271275322591,686.3347125589057,837.0688649868716,980.3680744763533,959.5506662514306,972.7990583111758,651.0201565870487
30,739.9626347791582,887.8587973941826,940.613725956603,977.8003127744043,555.0419062318049,847.7804023721241,578.8931427775763,678.0110071437424,947.211606730383,918.796304861827,1004.4030325127168,657.1595154474937
31,686.1392247391608,835.8673188710757,982.4685025719266,942.5599754284569,574.6489755620638,843.297181488706,259.95434224912384,781.6621002539946,991.4799500852728,1032.4394255193479,904.4323416916116,945.1421862590018
32,666.5908254299902,844.6427094824193,953.0898211604458,979.3006743080642,813.7103156660713,848.4270429712553,313.24885895841385,813.8824867744759,1008.358832868084,994.8460144107366,900.1488551700153,900.6849408557702
33,882.2010897391607,830.5180033571207,1015.2993961648515,948.7373260979181,872.1803897559604,842.3919184117036,721.2442379541981,885.8252927583507,722.2329848537242,998.3065823081494,876.7850462384706,899.4071792644038
34,776.1836280557557,774.2961352390638,903.5702149917115,932.4529206082408,747.8603245852884,827.8216662493679,675.4587477619245,935.399436000009,907.1013080579283,1009.7642578280272,943.9375351361836,857.8153750083295
35,684.8076262320802,849.0191222328235,890.5822415795486,987.2562492367568,583.7787872840157,281.9576156834196,644.7654163604547,801.2023891620041,851.7689980464686,999.1449123484821,991.6688307151865,833.7512671494214
36,670.9777509392429,858.9724367431317,900.1221395993808,995.1979847399415,829.6974021402788,424.5229837215394,623.9824657083566,646.0056696308749,680.8649184619177,988.7106838770497,889.9833453611839,999.0701169811584
37,665.2874507096484,810.0723621237526,904.2818425087022,881.8868925471328,738.3372787781,663.1431468336382,828.8811792304496,750.3390479941984,947.6627464846251,994.5360847359399,921.412886737691,970.3337688523405
38,680.6180368736439,828.7276050874473,922.9667626994328,967.77175868122,911.0705964818644,813.0405047353483,578.1844267638375,663.3384486336116,1014.5234855697937,733.3690405364441,860.2558989764198,765.7036122387169
39,959.8129056133482,849.8961321564854,987.6757686987722,1003.5431013891027,913.9651479660165,814.7659192358373,814.3853185854184,747.435715979768,1021.9100899116428,1021.3083167663898,845.3601752143036,750.8711126073325
40,1003.6822332359941,808.7713777199834,973.6577574523166,936.7058082296644,918.1574041018429,819.8658868079779,840.4290513696272,463.8642478355892,854.7858458124891,950.7893745744769,816.1209670418091,723.22297766235
