,Time_of_Day,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,Morning,816.2497936372059,441.5826085941854,757.4501259549776,13.971055457747243
1,Lunch,1218.5547706123596,245.46966187586835,1278.5237715400974,7.766316409471427
2,Afternoon,282.4320993812706,262.0799497956898,192.88390707269724,8.29184266249975
