,Time_of_Day,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,Morning,3817.5221971483343,2019.088340266396,3528.1974066551957,63.88112807648307
1,Lunch,5623.760939092215,1156.5197418946836,5875.653266102729,36.59066534216518
2,Afternoon,1287.5217468844614,1193.9078033884368,901.2655078040393,37.773571259247916
