time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20041231:2336,284.9,180.85,0,27.52,23.36,4,1
20050101:0036,434,186,0,39.96,26.3,3.52,0
20050101:0136,685,151,0,52.5,28.76,2.97,0
20050101:0236,842,142,0,64.8,30.23,3.38,0
20050101:0336,919,147,0,75.78,30.57,3.72,0
20050101:0436,936,148,0,79.23,30.69,3.86,0
20050101:0536,891,145,0,70.58,30.48,3.93,0
20050101:0636,803,128,0,58.66,30.14,3.79,0
20050101:0736,636,128,0,46.18,29.39,3.72,0
20050101:0836,453,111,0,33.67,28.39,4.14,0
20050101:0936,123,157,0,21.35,26.47,4.55,0
20050101:1036,75,51,0,9.41,24.71,3.93,0
20050101:1136,0,0,0,0,23.33,3.79,0
20050101:1236,0,0,0,0,22.29,3.86,0
20050101:1336,0,0,0,0,21.36,4,0
20050101:1436,0,0,0,0,20.4,4.07,0
20050101:1536,0,0,0,0,19.47,4.07,0
20050101:1636,0,0,0,0,18.74,4.21,0
20050101:1736,0,0,0,0,17.97,4.14,0
20050101:1836,0,0,0,0,17.89,4.48,0
20050101:1936,0,0,0,0,17.49,4.76,0
20050101:2036,0,0,0,0,17.26,4.69,0
20050101:2136,0,9,0,3.7,17.27,4.41,0
20050101:2236,0,21,0,15.37,17.65,4.34,0
20050101:2336,20,275,0,27.39,18.68,4.69,0
20050102:0036,301,258,0,39.83,20.36,5.03,0
20050102:0136,670,160,0,52.37,22.1,5.1,0
20050102:0236,732,213,0,64.67,23.95,5.24,0
20050102:0336,705,283,0,75.65,24.74,5.79,0
20050102:0436,954,136,0,79.18,24.8,6.48,0
20050102:0536,926,122,0,70.61,24.07,6.62,0
20050102:0636,788,139,0,58.72,23.39,6.28,0
20050102:0736,637,128,0,46.24,22.66,5.93,0
20050102:0836,472,99,0,33.73,21.6,5.93,0
20050102:0936,264,83,0,21.4,20.19,6.07,0
20050102:1036,77,50,0,9.46,18.45,5.24,0
20050102:1136,0,0,0,0,17.01,4.83,0
20050102:1236,0,0,0,0,16.15,4.55,0
20050102:1336,0,0,0,0,15.53,4.07,0
20050102:1436,0,0,0,0,15.11,3.59,0
20050102:1536,0,0,0,0,14.62,3.24,0
20050102:1636,0,0,0,0,14.21,2.9,0
20050102:1736,0,0,0,0,13.78,2.69,0
20050102:1836,0,0,0,0,13.3,2.69,0
20050102:1936,0,0,0,0,12.88,2.55,0
20050102:2036,0,0,0,0,12.52,2.34,0
20050102:2136,0,3,0,3.57,12.4,1.93,0
20050102:2236,0,20,0,15.24,15.02,1.72,0
20050102:2336,0,127,0,27.26,16.97,2.83,0
20050103:0036,21,290,0,39.7,18.55,3.1,0
20050103:0136,617,192,0,52.23,20.11,2.9,0
20050103:0236,873,120,0,64.54,21.65,2.83,0
20050103:0336,972,111,0,75.51,22.99,2.83,0
20050103:0436,972,124,0,79.12,24.18,3.1,0
20050103:0536,926,122,0,70.64,24.99,3.66,0
20050103:0636,819,119,0,58.77,24.76,4.62,0
20050103:0736,688,95,0,46.29,24.34,5.03,0
20050103:0836,472,100,0,33.78,23.72,5.24,0
20050103:0936,264,83,0,21.45,22.83,5.31,0
20050103:1036,92,43,0,9.49,21.35,4.9,0
20050103:1136,0,0,0,0,19.75,4.9,0
20050103:1236,0,0,0,0,18.42,4.69,0
20050103:1336,0,0,0,0,17.36,4.21,0
20050103:1436,0,0,0,0,16.5,3.72,0
20050103:1536,0,0,0,0,15.77,3.24,0
