time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20041231:2336,455.9,103.85,0,27.51,25.39,5.24,1
20050101:0036,541,130,0,40.11,27.69,4.76,0
20050101:0136,772,108,0,52.83,29.95,4.07,0
20050101:0236,898,122,0,65.38,31.79,2.83,0
20050101:0336,528,399,0,76.8,32.83,1.79,0
20050101:0436,198,534,0,80.34,33.46,1.59,0
20050101:0536,9,403,0,70.9,33.93,1.72,0
20050101:0636,819,131,0,58.63,34.64,1.72,0
20050101:0736,697,97,0,45.94,34.27,2.76,0
20050101:0836,72,281,0,33.27,32.77,4.55,0
20050101:0936,141,148,0,20.8,29.84,5.31,0
20050101:1036,75,44,0,8.73,26.85,4.9,0
20050101:1136,0,0,0,0,24.34,4.48,0
20050101:1236,0,0,0,0,22.9,4.28,0
20050101:1336,0,0,0,0,21.9,4.28,0
20050101:1436,0,0,0,0,21.18,4.34,0
20050101:1536,0,0,0,0,20.55,4.28,0
20050101:1636,0,0,0,0,20.06,4.34,0
20050101:1736,0,0,0,0,19.68,4.69,0
20050101:1836,0,0,0,0,19.3,4.97,0
20050101:1936,0,0,0,0,18.99,5.24,0
20050101:2036,0,0,0,0,18.67,5.24,0
20050101:2136,0,3,0,3.37,18.51,5.38,0
20050101:2236,0,20,0,15.21,19.2,5.72,0
20050101:2336,0,61,0,27.38,19.86,5.86,0
20050102:0036,5,253,0,39.98,21.05,5.86,0
20050102:0136,211,407,0,52.7,22.57,6.07,0
20050102:0236,664,270,0,65.25,23.97,6.28,0
20050102:0336,943,149,0,76.67,25.11,6.28,0
20050102:0436,754,281,0,80.29,25.92,6.55,0
20050102:0536,440,424,0,70.94,25.8,7.45,0
20050102:0636,95,455,0,58.69,25.08,7.79,0
20050102:0736,91,379,0,46,24.49,7.72,0
20050102:0836,439,124,0,33.32,23.6,7.79,0
20050102:0936,175,132,0,20.86,22.3,7.79,0
20050102:1036,61,51,0,8.77,20.75,7.1,0
20050102:1136,0,0,0,0,19.65,6.28,0
20050102:1236,0,0,0,0,19.04,5.45,0
20050102:1336,0,0,0,0,18.41,5.31,0
20050102:1436,0,0,0,0,17.57,5.1,0
20050102:1536,0,0,0,0,16.59,4.83,0
20050102:1636,0,0,0,0,15.69,4.48,0
20050102:1736,0,0,0,0,14.92,4.14,0
20050102:1836,0,0,0,0,14.16,3.66,0
20050102:1936,0,0,0,0,13.66,3.45,0
20050102:2036,0,0,0,0,13.27,3.24,0
20050102:2136,0,2,0,3.24,13.3,2.9,0
20050102:2236,110,92,0,15.07,14.73,3.66,0
20050102:2336,540,100,0,27.25,16.49,4.07,0
20050103:0036,580,102,0,39.85,18.43,3.66,0
20050103:0136,768,109,0,52.57,20.46,3.31,0
20050103:0236,912,111,0,65.12,22.42,3.24,0
20050103:0336,1035,86,0,76.53,24.2,3.24,0
20050103:0436,1055,85,0,80.24,25.65,3.31,0
20050103:0536,1003,86,0,70.98,26.67,3.52,0
20050103:0636,868,99,0,58.74,26.34,5.1,0
20050103:0736,699,97,0,46.06,25.64,5.93,0
20050103:0836,484,96,0,33.38,24.43,6.48,0
20050103:0936,274,76,0,20.9,22.66,6.62,0
20050103:1036,77,44,0,8.81,20.83,5.86,0
20050103:1136,0,0,0,0,19.5,5.03,0
20050103:1236,0,0,0,0,18.94,4.41,0
20050103:1336,0,0,0,0,18.74,3.93,0
20050103:1436,0,0,0,0,18.52,3.52,0
20050103:1536,0,0,0,0,18.32,3.38,0
20050103:1636,0,0,0,0,17.98,3.38,0
20050103:1736,0,0,0,0,17.49,3.45,0
20050103:1836,0,0,0,0,16.34,3.45,0
20050103:1936,0,0,0,0,15.77,3.45,0
20050103:2036,0,0,0,0,15.31,3.38,0
20050103:2136,0,2,0,3.1,15.27,3.17,0
20050103:2236,145,72,0,14.94,16.77,3.86,0
20050103:2336,568,80,0,27.12,18.95,3.72,0
20050104:0036,578,102,0,39.72,21.35,3.03,0
20050104:0136,767,108,0,52.43,23.54,2,0
20050104:0236,911,111,0,64.98,25.29,1.52,0
20050104:0336,997,112,0,76.39,26.84,2.55,0
20050104:0436,1016,112,0,80.18,27.75,3.79,0
20050104:0536,1022,73,0,71.01,28.01,4.76,0
20050104:0636,869,99,0,58.79,27.42,5.17,0
20050104:0736,726,79,0,46.11,26.82,5.72,0
20050104:0836,512,79,0,33.43,25.5,6.14,0
20050104:0936,255,88,0,20.95,24,5.93,0
20050104:1036,79,44,0,8.84,22.39,5.31,0
20050104:1136,0,0,0,0,21.13,4.41,0
20050104:1236,0,0,0,0,20.64,3.79,0
20050104:1336,0,0,0,0,20.6,3.38,0
20050104:1436,0,0,0,0,20.58,3.86,0
20050104:1536,0,0,0,0,20.04,4.62,0
20050104:1636,0,0,0,0,19.1,4.9,0
20050104:1736,0,0,0,0,18.14,5.1,0
20050104:1836,0,0,0,0,17.14,5.24,0
20050104:1936,0,0,0,0,16.5,5.31,0
20050104:2036,0,0,0,0,16.02,5.31,0
20050104:2136,0,2,0,2.96,15.9,4.9,0
20050104:2236,182,47,0,14.8,16.98,6.07,0
20050104:2336,616,45,0,26.98,19.1,6,0
20050105:0036,598,87,0,39.59,21.72,5.66,0
20050105:0136,779,99,0,52.3,24.21,5.03,0
20050105:0236,910,111,0,64.85,26.38,4.21,0
20050105:0336,996,112,0,76.24,28.17,3.24,0
20050105:0436,1054,86,0,80.11,29.58,2.28,0
20050105:0536,1003,87,0,71.03,30.61,1.45,0
20050105:0636,870,99,0,58.84,30.63,1.38,0
20050105:0736,727,79,0,46.16,30.92,2.41,0
20050105:0836,485,97,0,33.48,30.27,3.93,0
20050105:0936,302,59,0,20.99,28.75,4.48,0
20050105:1036,80,43,0,8.87,26.82,4.07,0
20050105:1136,0,0,0,0,24.82,3.66,0
20050105:1236,0,0,0,0,23.71,3.31,0
20050105:1336,0,0,0,0,23.1,2.9,0
20050105:1436,0,0,0,0,22.92,3.59,0
20050105:1536,0,0,0,0,22.8,4.9,0
20050105:1636,0,0,0,0,22.25,5.52,0
20050105:1736,0,0,0,0,21.38,5.79,0
20050105:1836,0,0,0,0,20.06,5.93,0
20050105:1936,0,0,0,0,19.45,6.07,0
20050105:2036,0,0,0,0,19.09,6.07,0
20050105:2136,1,0,0,2.82,19.12,6.07,1
20050105:2236,156,62,0,14.66,20.68,5.86,0
20050105:2336,554,86,0,26.84,23.67,6.28,0
20050106:0036,596,87,0,39.45,27.1,6,0
20050106:0136,763,108,0,52.16,30.54,5.31,0
20050106:0236,909,110,0,64.71,33.59,4.14,0
20050106:0336,995,112,0,76.09,35.95,2.69,0
20050106:0436,1054,85,0,80.03,37.39,1.03,0
20050106:0536,1003,87,0,71.05,38.15,1.17,0
20050106:0636,903,76,0,58.88,37.62,5.03,0
20050106:0736,728,79,0,46.2,36.29,7.17,0
20050106:0836,486,97,0,33.52,33.68,7.72,0
20050106:0936,282,72,0,21.02,30.34,6.9,0
20050106:1036,65,51,0,8.9,27.39,5.38,0
20050106:1136,0,0,0,0,25.44,4.62,0
20050106:1236,0,0,0,0,24.32,3.52,0
20050106:1336,0,0,0,0,23.33,2.9,0
20050106:1436,0,0,0,0,22.41,2.28,0
20050106:1536,0,0,0,0,21.46,2.34,0
20050106:1636,0,0,0,0,20.51,2.97,0
20050106:1736,0,0,0,0,19.74,3.24,0
20050106:1836,0,0,0,0,19.27,2.97,0
20050106:1936,0,0,0,0,18.8,2.9,0
20050106:2036,0,0,0,0,18.5,2.69,0
20050106:2136,1,0,0,2.67,18.57,2.76,1
20050106:2236,0,19,0,14.52,19.63,3.66,0
20050106:2336,0,56,0,26.7,21.02,3.93,0
20050107:0036,0,112,0,39.31,22.52,4.28,0
20050107:0136,208,403,0,52.03,23.9,4.55,0
20050107:0236,540,338,0,64.56,24.77,4.69,0
20050107:0336,692,305,0,75.93,25.4,5.03,0
20050107:0436,996,125,0,79.94,25.41,5.38,0
20050107:0536,949,123,0,71.06,25.22,5.45,0
20050107:0636,807,142,0,58.91,25.1,5.38,0
20050107:0736,651,131,0,46.24,24.54,5.24,0
20050107:0836,425,136,0,33.55,23.87,5.24,0
20050107:0936,238,100,0,21.05,22.72,5.1,0
20050107:1036,82,43,0,8.92,21.18,4.55,0
20050107:1136,0,0,0,0,19.83,3.79,0
20050107:1236,0,0,0,0,18.96,3.31,0
20050107:1336,0,0,0,0,18.31,3.03,0
20050107:1436,0,0,0,0,17.84,2.83,0
20050107:1536,0,0,0,0,17.47,2.69,0
20050107:1636,0,0,0,0,17.3,2.55,0
20050107:1736,0,0,0,0,17.17,2.41,0
20050107:1836,0,0,0,0,16.67,2.28,0
20050107:1936,0,0,0,0,16.32,2.28,0
20050107:2036,0,0,0,0,16.05,2.34,0
20050107:2136,1,0,0,2.53,16.13,2.34,1
20050107:2236,9,98,0,14.38,17.93,3.03,0
20050107:2336,368,198,0,26.56,20.16,2.83,0
20050108:0036,518,134,0,39.17,22.93,2.28,0
20050108:0136,731,127,0,51.89,25.36,1.66,0
20050108:0236,906,111,0,64.42,27.47,1.24,0
20050108:0336,994,111,0,75.77,29.15,1.24,0
20050108:0436,1053,86,0,79.84,30.4,2.21,0
20050108:0536,985,99,0,71.07,30.9,3.79,0
20050108:0636,582,282,0,58.94,30.98,3.93,0
20050108:0736,365,299,0,46.28,30.4,4.69,0
20050108:0836,0,113,0,33.59,29.02,5.03,0
20050108:0936,0,48,0,21.08,26.95,4.69,0
20050108:1036,91,38,0,8.93,25.42,3.86,0
20050108:1136,0,0,0,0,24.51,3.17,0
20050108:1236,0,0,0,0,23.68,2.9,0
20050108:1336,0,0,0,0,22.35,2.9,0
20050108:1436,0,0,0,0,21.37,1.59,0
20050108:1536,0,0,0,0,20.87,0.9,0
20050108:1636,0,0,0,0,20.36,1.38,0
20050108:1736,0,0,0,0,19.94,0.62,0
20050108:1836,0,0,0,0,20.19,1.17,0
20050108:1936,0,0,0,0,19.5,1.1,0
20050108:2036,0,0,0,0,19.92,0.62,0
20050108:2136,1,0,0,2.37,19.52,0.69,1
20050108:2236,0,19,0,14.23,21.27,0.14,0
20050108:2336,0,56,0,26.42,24.12,0.28,0
20050109:0036,55,316,0,39.03,26.13,1.38,0
20050109:0136,51,397,0,51.74,28.3,2.14,0
20050109:0236,190,480,0,64.27,30.01,3.1,0
20050109:0336,851,205,0,75.61,30.96,3.93,0
20050109:0436,198,532,0,79.73,31.3,4.55,0
20050109:0536,8,398,0,71.06,30.85,5.45,0
20050109:0636,808,141,0,58.97,30.46,6.48,0
20050109:0736,591,170,0,46.31,27.89,6.97,0
20050109:0836,0,79,0,33.61,25.69,6.76,0
20050109:0936,0,45,0,21.1,23.52,6.55,0
20050109:1036,0,22,0,8.94,21.54,6.07,0
