time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20041231:2336,317.6,173.15,0,27.82,21.55,3.86,1
20050101:0036,474,163,0,40.25,24.88,3.59,0
20050101:0136,674,159,0,52.77,27.84,3.03,0
20050101:0236,828,152,0,65.05,29.96,2.97,0
20050101:0336,834,203,0,75.92,30.76,3.17,0
20050101:0436,849,204,0,79.05,31.35,3.31,0
20050101:0536,824,188,0,70.29,31.57,3.45,0
20050101:0636,742,167,0,58.37,31.52,3.31,0
20050101:0736,624,134,0,45.9,31.16,3.03,0
20050101:0836,452,110,0,33.4,30.69,2.76,0
20050101:0936,242,94,0,21.1,29.16,2.9,0
20050101:1036,66,54,0,9.18,27.09,2.76,0
20050101:1136,0,0,0,0,24.88,2.76,0
20050101:1236,0,0,0,0,23.23,2.69,0
20050101:1336,0,0,0,0,21.92,2.76,0
20050101:1436,0,0,0,0,20.59,2.9,0
20050101:1536,0,0,0,0,19.24,3.03,0
20050101:1636,0,0,0,0,18.14,2.83,0
20050101:1736,0,0,0,0,17.08,2.76,0
20050101:1836,0,0,0,0,16.69,3.38,0
20050101:1936,0,0,0,0,16.2,3.17,0
20050101:2036,0,0,0,0,15.79,3.45,0
20050101:2136,0,8,0,3.99,15.77,2.9,0
20050101:2236,0,21,0,15.67,16.01,2.97,0
20050101:2336,76,307,0,27.69,16.88,4.07,0
20050102:0036,1,225,0,40.12,18.59,4.34,0
20050102:0136,659,168,0,52.64,20.64,4.21,0
20050102:0236,780,182,0,64.92,22.94,4.21,0
20050102:0336,784,234,0,75.79,24.2,4.41,0
20050102:0436,849,204,0,79.01,24.74,5.1,0
20050102:0536,874,156,0,70.32,23.47,5.45,0
20050102:0636,788,138,0,58.42,22.21,5.31,0
20050102:0736,637,127,0,45.96,21.3,4.9,0
20050102:0836,471,98,0,33.46,20.2,4.83,0
20050102:0936,258,85,0,21.15,18.65,4.9,0
20050102:1036,79,48,0,9.22,16.76,4.48,0
20050102:1136,0,0,0,0,15.33,3.59,0
20050102:1236,0,0,0,0,14.43,3.52,0
20050102:1336,0,0,0,0,13.76,3.17,0
20050102:1436,0,0,0,0,13.37,2.76,0
20050102:1536,0,0,0,0,12.86,2.34,0
20050102:1636,0,0,0,0,12.36,2.07,0
20050102:1736,0,0,0,0,11.93,1.93,0
20050102:1836,0,0,0,0,11.29,1.86,0
20050102:1936,0,0,0,0,10.92,1.72,0
20050102:2036,0,0,0,0,10.67,1.59,0
20050102:2136,0,3,0,3.86,10.76,1.24,0
20050102:2236,0,21,0,15.53,13.13,1.24,0
20050102:2336,224,272,0,27.55,15.45,2.69,0
20050103:0036,1,217,0,39.99,17.28,2.76,0
20050103:0136,500,263,0,52.51,19.04,2.62,0
20050103:0236,858,131,0,64.78,20.68,2.48,0
20050103:0336,919,146,0,75.65,22.16,2.48,0
20050103:0436,936,147,0,78.95,23.55,2.48,0
20050103:0536,891,145,0,70.34,24.51,2.69,0
20050103:0636,788,138,0,58.47,24.99,2.9,0
20050103:0736,662,111,0,46.01,24.88,3.1,0
20050103:0836,490,87,0,33.51,24.27,3.45,0
20050103:0936,279,73,0,21.19,23.03,3.86,0
20050103:1036,96,39,0,9.26,21.03,3.86,0
20050103:1136,0,0,0,0,18.93,4.14,0
20050103:1236,0,0,0,0,17.29,3.72,0
20050103:1336,0,0,0,0,16.09,3.17,0
20050103:1436,0,0,0,0,15.15,2.76,0
20050103:1536,0,0,0,0,14.36,2.34,0
20050103:1636,0,0,0,0,13.64,2.07,0
20050103:1736,0,0,0,0,13.03,1.93,0
20050103:1836,0,0,0,0,12.28,1.79,0
20050103:1936,0,0,0,0,11.8,1.79,0
20050103:2036,0,0,0,0,11.49,1.79,0
20050103:2136,0,3,0,3.72,11.69,1.52,0
20050103:2236,0,20,0,15.4,14.13,1.45,0
20050103:2336,504,116,0,27.42,16.21,2.14,0
20050104:0036,0,173,0,39.86,18.52,1.93,0
20050104:0136,166,407,0,52.37,20.56,1.93,0
20050104:0236,673,248,0,64.64,22.19,2.14,0
20050104:0336,937,134,0,75.51,24.34,2.28,0
20050104:0436,991,110,0,78.88,25.11,2.34,0
20050104:0536,926,121,0,70.37,25.96,2.48,0
20050104:0636,820,117,0,58.51,25.52,3.24,0
20050104:0736,702,85,0,46.06,25.27,3.59,0
20050104:0836,490,88,0,33.55,24.34,4,0
20050104:0936,296,62,0,21.23,22.8,4.41,0
20050104:1036,97,39,0,9.29,20.83,4.14,0
20050104:1136,0,0,0,0,19.07,4.34,0
20050104:1236,0,0,0,0,17.75,4.07,0
20050104:1336,0,0,0,0,16.67,3.93,0
20050104:1436,0,0,0,0,15.72,4,0
20050104:1536,0,0,0,0,14.86,4,0
20050104:1636,0,0,0,0,14.09,4,0
20050104:1736,0,0,0,0,13.5,3.93,0
20050104:1836,0,0,0,0,12.89,3.79,0
20050104:1936,0,0,0,0,12.62,3.72,0
20050104:2036,0,0,0,0,12.61,3.72,0
20050104:2136,0,3,0,3.58,13.13,3.31,0
20050104:2236,0,20,0,15.26,14.3,4.69,0
20050104:2336,253,257,0,27.28,16.11,4.55,0
20050105:0036,506,138,0,39.72,17.88,4.41,0
20050105:0136,736,114,0,52.24,20,4.07,0
20050105:0236,840,141,0,64.5,22.11,3.59,0
20050105:0336,936,134,0,75.36,24.02,3.1,0
20050105:0436,954,135,0,78.8,25.59,2.62,0
20050105:0536,926,122,0,70.38,26.74,2.28,0
20050105:0636,820,118,0,58.55,27.11,1.93,0
20050105:0736,664,111,0,46.1,27.43,1.93,0
20050105:0836,491,87,0,33.6,27.28,2.28,0
20050105:0936,280,73,0,21.27,26.69,2.69,0
20050105:1036,82,48,0,9.32,25.39,2.76,0
20050105:1136,0,0,0,0,23.52,3.17,0
20050105:1236,0,0,0,0,22.19,3.66,0
20050105:1336,0,0,0,0,20.96,4.14,0
20050105:1436,0,0,0,0,19.36,4.69,0
20050105:1536,0,0,0,0,17.75,4.76,0
