time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20041231:2336,462.4,98.5,0,27.46,25.28,5.59,1
20050101:0036,530,136,0,40.01,27.61,5.03,0
20050101:0136,742,127,0,52.66,29.88,4.34,0
20050101:0236,913,111,0,65.14,31.68,3.38,0
20050101:0336,515,405,0,76.43,32.7,2.76,0
20050101:0436,852,219,0,80,33.33,2.83,0
20050101:0536,947,123,0,70.86,33.63,3.17,0
20050101:0636,618,258,0,58.71,34.09,3.24,0
20050101:0736,697,97,0,46.08,32.92,4.83,0
20050101:0836,69,281,0,33.46,30.09,5.59,0
20050101:0936,235,99,0,21.04,27.4,5.86,0
20050101:1036,65,51,0,9.01,24.68,5.52,0
20050101:1136,0,0,0,0,22.78,4.83,0
20050101:1236,0,0,0,0,21.89,4.21,0
20050101:1336,0,0,0,0,21.32,4.55,0
20050101:1436,0,0,0,0,20.8,4.83,0
20050101:1536,0,0,0,0,20.33,4.97,0
20050101:1636,0,0,0,0,19.94,4.83,0
20050101:1736,0,0,0,0,19.58,5.31,0
20050101:1836,0,0,0,0,19.21,5.79,0
20050101:1936,0,0,0,0,18.84,5.93,0
20050101:2036,0,0,0,0,18.5,5.86,0
20050101:2136,0,3,0,3.43,18.36,5.79,0
20050101:2236,0,20,0,15.2,18.84,5.93,0
20050101:2336,0,57,0,27.33,19.58,5.93,0
20050102:0036,17,288,0,39.88,20.74,5.93,0
20050102:0136,267,388,0,52.53,22.02,6.34,0
20050102:0236,581,318,0,65.01,23.5,6.41,0
20050102:0336,906,172,0,76.29,24.79,6.48,0
20050102:0436,769,271,0,79.96,25.37,7.24,0
20050102:0536,440,424,0,70.9,25.22,8.14,0
20050102:0636,103,458,0,58.76,24.7,8.48,0
20050102:0736,345,307,0,46.14,24.23,8.48,0
20050102:0836,439,125,0,33.52,23.41,8.48,0
20050102:0936,200,120,0,21.09,22.11,8.48,0
20050102:1036,39,62,0,9.05,20.63,7.66,0
20050102:1136,0,0,0,0,19.49,7.03,0
20050102:1236,0,0,0,0,18.55,6.34,0
20050102:1336,0,0,0,0,17.57,5.86,0
20050102:1436,0,0,0,0,16.62,5.45,0
20050102:1536,0,0,0,0,15.82,4.97,0
20050102:1636,0,0,0,0,15.18,4.48,0
20050102:1736,0,0,0,0,14.63,4,0
20050102:1836,0,0,0,0,14.05,3.72,0
20050102:1936,0,0,0,0,13.67,3.66,0
20050102:2036,0,0,0,0,13.34,3.45,0
20050102:2136,0,2,0,3.29,13.38,3.03,0
20050102:2236,82,104,0,15.07,14.92,3.52,0
20050102:2336,549,94,0,27.2,16.72,4.28,0
20050103:0036,547,123,0,39.75,18.5,4,0
20050103:0136,753,118,0,52.4,20.42,3.72,0
20050103:0236,877,134,0,64.88,22.25,3.72,0
20050103:0336,978,124,0,76.16,23.9,3.79,0
20050103:0436,977,138,0,79.9,25.23,3.93,0
20050103:0536,912,147,0,70.93,26.07,4.55,0
20050103:0636,790,151,0,58.82,25.12,6.21,0
20050103:0736,661,122,0,46.2,24.26,7.03,0
20050103:0836,484,97,0,33.57,23.07,7.45,0
20050103:0936,260,86,0,21.14,21.71,7.45,0
20050103:1036,85,41,0,9.09,20.47,6.55,0
20050103:1136,0,0,0,0,19.7,5.59,0
20050103:1236,0,0,0,0,19.38,5.17,0
20050103:1336,0,0,0,0,19.13,4.83,0
20050103:1436,0,0,0,0,18.73,4.55,0
20050103:1536,0,0,0,0,18.17,4.28,0
20050103:1636,0,0,0,0,17.46,4.07,0
20050103:1736,0,0,0,0,16.78,3.93,0
20050103:1836,0,0,0,0,15.74,3.86,0
20050103:1936,0,0,0,0,15.18,3.72,0
20050103:2036,0,0,0,0,14.77,3.52,0
20050103:2136,0,2,0,3.16,14.76,3.17,0
20050103:2236,91,99,0,14.94,16.31,3.79,0
20050103:2336,537,100,0,27.06,18.52,3.59,0
20050104:0036,566,109,0,39.61,20.8,2.76,0
20050104:0136,751,118,0,52.27,22.83,1.93,0
20050104:0236,910,111,0,64.74,24.52,2.48,0
20050104:0336,977,124,0,76.01,25.84,3.59,0
20050104:0436,977,137,0,79.83,26.47,4.48,0
20050104:0536,948,123,0,70.96,26.7,5.03,0
20050104:0636,837,121,0,58.86,26.28,5.72,0
20050104:0736,661,123,0,46.25,25.61,6.41,0
20050104:0836,485,97,0,33.62,24.68,6.62,0
20050104:0936,266,82,0,21.18,23.76,6.55,0
20050104:1036,69,50,0,9.12,22.57,5.79,0
20050104:1136,0,0,0,0,21.64,5.1,0
20050104:1236,0,0,0,0,21.36,4.83,0
20050104:1336,0,0,0,0,21.02,4.83,0
20050104:1436,0,0,0,0,20.27,5.03,0
20050104:1536,0,0,0,0,19.3,5.1,0
20050104:1636,0,0,0,0,18.43,5.03,0
20050104:1736,0,0,0,0,17.69,5.1,0
20050104:1836,0,0,0,0,16.86,5.17,0
20050104:1936,0,0,0,0,16.28,5.1,0
20050104:2036,0,0,0,0,15.83,5.1,0
20050104:2136,0,2,0,3.02,15.71,4.69,0
20050104:2236,170,55,0,14.8,16.8,5.79,0
20050104:2336,615,46,0,26.93,18.85,5.66,0
20050105:0036,608,80,0,39.48,21.39,5.1,0
20050105:0136,778,98,0,52.13,23.86,4.34,0
20050105:0236,908,111,0,64.6,25.98,3.38,0
20050105:0336,976,125,0,75.87,27.71,2.28,0
20050105:0436,995,125,0,79.76,29,1.1,0
20050105:0536,948,124,0,70.98,29.94,0.83,0
20050105:0636,837,121,0,58.91,29.92,2.34,0
20050105:0736,662,123,0,46.3,29.78,4,0
20050105:0836,486,97,0,33.67,28.46,5.45,0
20050105:0936,242,98,0,21.22,26.84,5.45,0
20050105:1036,70,50,0,9.15,25.02,4.62,0
20050105:1136,0,0,0,0,23.38,4,0
20050105:1236,0,0,0,0,22.6,3.52,0
20050105:1336,0,0,0,0,22.24,3.03,0
20050105:1436,0,0,0,0,22.36,4,0
20050105:1536,0,0,0,0,22.43,5.45,0
20050105:1636,0,0,0,0,21.82,6.14,0
