time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20041231:2336,273.4,183.7,0,27.49,24.01,4.34,1
20050101:0036,462,169,0,39.94,26.75,3.86,0
20050101:0136,685,151,0,52.5,29.04,3.38,0
20050101:0236,811,163,0,64.84,30.42,3.45,0
20050101:0336,938,135,0,75.88,30.8,3.59,0
20050101:0436,918,160,0,79.38,30.98,3.59,0
20050101:0536,908,134,0,70.65,30.9,3.72,0
20050101:0636,788,138,0,58.7,30.51,4,0
20050101:0736,637,127,0,46.19,29.45,4.28,0
20050101:0836,470,100,0,33.66,28.03,4.69,0
20050101:0936,185,127,0,21.32,25.77,5.17,0
20050101:1036,84,46,0,9.37,23.91,4.34,0
20050101:1136,0,0,0,0,22.71,3.86,0
20050101:1236,0,0,0,0,21.99,4.07,0
20050101:1336,0,0,0,0,21.38,4.28,0
20050101:1436,0,0,0,0,20.65,4.41,0
20050101:1536,0,0,0,0,19.87,4.41,0
20050101:1636,0,0,0,0,19.21,4.48,0
20050101:1736,0,0,0,0,18.62,4.55,0
20050101:1836,0,0,0,0,18.33,5.03,0
20050101:1936,0,0,0,0,17.89,5.17,0
20050101:2036,0,0,0,0,17.65,4.97,0
20050101:2136,1,15.82,0,3.63,17.64,4.97,0
20050101:2236,0,21,0,15.31,17.99,4.69,0
20050101:2336,6,244,0,27.36,18.97,4.9,0
20050102:0036,286,266,0,39.81,20.4,5.17,0
20050102:0136,670,160,0,52.37,21.9,5.31,0
20050102:0236,763,193,0,64.71,23.77,5.31,0
20050102:0336,833,203,0,75.74,24.74,6,0
20050102:0436,973,123,0,79.33,25.07,6.9,0
20050102:0536,909,133,0,70.69,24.61,7.31,0
20050102:0636,819,118,0,58.75,23.95,7.03,0
20050102:0736,650,119,0,46.25,23.32,6.55,0
20050102:0836,471,100,0,33.72,22.32,6.48,0
20050102:0936,258,86,0,21.37,20.95,6.55,0
20050102:1036,86,45,0,9.41,19.25,5.72,0
20050102:1136,0,0,0,0,17.68,5.38,0
20050102:1236,0,0,0,0,16.62,5.03,0
20050102:1336,0,0,0,0,15.87,4.55,0
20050102:1436,0,0,0,0,15.34,4.07,0
20050102:1536,0,0,0,0,14.81,3.59,0
20050102:1636,0,0,0,0,14.4,3.17,0
20050102:1736,0,0,0,0,13.96,2.97,0
20050102:1836,0,0,0,0,13.37,2.97,0
20050102:1936,0,0,0,0,12.97,2.9,0
20050102:2036,0,0,0,0,12.62,2.69,0
20050102:2136,0,3,0,3.49,12.59,2.34,0
20050102:2236,0,20,0,15.18,15.02,2.14,0
20050102:2336,0,57,0,27.22,16.9,2.97,0
20050103:0036,51,315,0,39.68,18.52,3.31,0
20050103:0136,669,159,0,52.24,20.18,3.17,0
20050103:0236,873,121,0,64.57,21.72,3.17,0
20050103:0336,973,110,0,75.61,23.14,3.24,0
20050103:0436,973,123,0,79.27,24.29,3.66,0
20050103:0536,944,110,0,70.72,24.99,4.28,0
20050103:0636,851,97,0,58.8,24.48,5.24,0
20050103:0736,689,94,0,46.31,23.91,6,0
20050103:0836,490,88,0,33.77,23.17,6.28,0
20050103:0936,280,73,0,21.42,22.53,6.14,0
20050103:1036,87,45,0,9.45,21.45,5.45,0
20050103:1136,0,0,0,0,20.25,5.38,0
20050103:1236,0,0,0,0,19.12,5.17,0
20050103:1336,0,0,0,0,18.07,4.76,0
20050103:1436,0,0,0,0,17.13,4.14,0
20050103:1536,0,0,0,0,16.34,3.66,0
20050103:1636,0,0,0,0,15.62,3.38,0
20050103:1736,0,0,0,0,15,3.17,0
20050103:1836,0,0,0,0,14.25,2.97,0
20050103:1936,0,0,0,0,13.77,2.83,0
20050103:2036,0,0,0,0,13.36,2.76,0
20050103:2136,0,3,0,3.36,13.47,2.55,0
20050103:2236,0,20,0,15.05,15.75,2.34,0
20050103:2336,376,192,0,27.09,17.74,2.62,0
20050104:0036,526,125,0,39.55,19.78,2.21,0
20050104:0136,155,407,0,52.1,21.66,2.14,0
20050104:0236,872,120,0,64.44,23.2,2.62,0
20050104:0336,990,98,0,75.46,24.33,3.24,0
20050104:0436,991,111,0,79.2,25.31,3.72,0
20050104:0536,944,110,0,70.74,25.81,4.34,0
20050104:0636,852,97,0,58.85,25.77,4.97,0
20050104:0736,689,95,0,46.35,25.73,5.24,0
20050104:0836,491,88,0,33.82,25.34,5.52,0
20050104:0936,280,74,0,21.46,24.41,5.72,0
20050104:1036,87,45,0,9.48,22.91,5.31,0
20050104:1136,0,0,0,0,21.35,5.31,0
20050104:1236,0,0,0,0,20.05,5.24,0
20050104:1336,0,0,0,0,18.97,4.97,0
20050104:1436,0,0,0,0,18.08,4.83,0
20050104:1536,0,0,0,0,17.25,4.9,0
20050104:1636,0,0,0,0,16.48,4.9,0
20050104:1736,0,0,0,0,15.82,4.9,0
20050104:1836,0,0,0,0,15.11,4.69,0
20050104:1936,0,0,0,0,14.64,4.62,0
20050104:2036,0,0,0,0,14.38,4.55,0
20050104:2136,0,2,0,3.22,14.75,4.14,0
20050104:2236,0,20,0,14.91,15.98,5.24,0
20050104:2336,172,287,0,26.95,17.92,4.9,0
20050105:0036,455,168,0,39.41,20.12,4.48,0
20050105:0136,720,124,0,51.97,22.4,3.79,0
20050105:0236,871,120,0,64.3,24.35,2.97,0
20050105:0336,971,111,0,75.32,25.92,1.93,0
20050105:0436,972,123,0,79.12,27.12,1.03,0
20050105:0536,944,110,0,70.75,27.99,1.17,0
20050105:0636,852,97,0,58.89,28.05,2.14,0
20050105:0736,652,120,0,46.4,28.1,3.03,0
20050105:0836,492,88,0,33.86,27.51,3.86,0
20050105:0936,265,84,0,21.5,26.38,4,0
20050105:1036,89,45,0,9.51,24.86,3.17,0
20050105:1136,0,0,0,0,23.33,2.76,0
20050105:1236,0,0,0,0,22.64,2.9,0
20050105:1336,0,0,0,0,22.47,3.93,0
20050105:1436,0,0,0,0,22.11,4.9,0
20050105:1536,0,0,0,0,21.14,5.52,0
20050105:1636,0,0,0,0,19.93,5.59,0
20050105:1736,0,0,0,0,18.9,5.79,0
20050105:1836,0,0,0,0,17.73,5.86,0
20050105:1936,0,0,0,0,17.19,5.79,0
20050105:2036,0,0,0,0,16.94,5.59,0
20050105:2136,0,2,0,3.07,17.06,5.38,0
20050105:2236,0,20,0,14.77,18.53,5.24,0
20050105:2336,507,109,0,26.81,21.37,5.1,0
20050106:0036,618,61,0,39.27,24.65,4.21,0
20050106:0136,803,67,0,51.83,27.64,2.97,0
20050106:0236,903,97,0,64.15,30.07,1.38,0
20050106:0336,970,111,0,75.16,31.63,1.17,0
20050106:0436,972,123,0,79.03,32.65,2.14,0
20050106:0536,892,145,0,70.76,33.36,2.97,0
20050106:0636,660,222,0,58.92,32.68,4.21,0
20050106:0736,678,103,0,46.44,31.94,5.1,0
20050106:0836,439,123,0,33.9,30.33,5.52,0
20050106:0936,119,160,0,21.53,28.61,4.83,0
20050106:1036,90,44,0,9.53,26.98,4.21,0
20050106:1136,0,0,0,0,25.63,3.79,0
20050106:1236,0,0,0,0,24.67,3.24,0
20050106:1336,0,0,0,0,23.8,2.55,0
20050106:1436,0,0,0,0,22.8,2.14,0
20050106:1536,0,0,0,0,21.46,2.21,0
20050106:1636,0,0,0,0,20.21,2.62,0
20050106:1736,0,0,0,0,19.25,2.97,0
20050106:1836,0,0,0,0,18.63,3.17,0
20050106:1936,0,0,0,0,17.9,3.17,0
20050106:2036,0,0,0,0,17.39,3.03,0
20050106:2136,0,2,0,2.93,17.25,2.76,0
20050106:2236,0,19,0,14.63,19.45,2.9,0
20050106:2336,0,56,0,26.67,21.28,3.45,0
20050107:0036,0,112,0,39.13,22.38,3.59,0
20050107:0136,30,371,0,51.69,23.47,3.79,0
20050107:0236,68,460,0,64.01,24.34,4.48,0
20050107:0336,193,512,0,75.01,24.64,5.1,0
20050107:0436,643,330,0,78.94,24.53,5.38,0
20050107:0536,776,220,0,70.76,24.37,5.38,0
20050107:0636,806,129,0,58.95,24.55,5.17,0
20050107:0736,653,120,0,46.48,24.14,5.1,0
20050107:0836,475,100,0,33.93,23.47,5.1,0
20050107:0936,267,83,0,21.56,22.55,4.97,0
20050107:1036,90,45,0,9.54,21.42,4.28,0
20050107:1136,0,0,0,0,20.28,4,0
20050107:1236,0,0,0,0,19.62,3.93,0
20050107:1336,0,0,0,0,19,3.79,0
20050107:1436,0,0,0,0,18.22,3.66,0
20050107:1536,0,0,0,0,17.43,3.59,0
20050107:1636,0,0,0,0,16.7,3.45,0
20050107:1736,0,0,0,0,16.2,3.38,0
20050107:1836,0,0,0,0,16.04,3.24,0
20050107:1936,0,0,0,0,15.92,3.17,0
20050107:2036,0,0,0,0,15.72,3.17,0
20050107:2136,0,2,0,2.78,15.82,2.97,0
20050107:2236,0,19,0,14.48,17.05,3.52,0
20050107:2336,0,174,0,26.52,18.86,3.17,0
20050108:0036,441,172,0,38.99,21.15,2.76,0
20050108:0136,728,115,0,51.55,23.51,2.28,0
20050108:0236,900,98,0,63.86,25.59,2.07,0
20050108:0336,950,123,0,74.85,27.24,2.21,0
20050108:0436,971,123,0,78.83,28.35,2.9,0
20050108:0536,944,110,0,70.76,28.71,3.86,0
20050108:0636,853,97,0,58.97,28.59,4.48,0
20050108:0736,692,94,0,46.51,27.28,5.59,0
20050108:0836,476,100,0,33.96,26.02,5.31,0
20050108:0936,0,64,0,21.58,25.04,4.48,0
20050108:1036,22,70,0,9.56,23.95,3.24,0
20050108:1136,0,0,0,0,23.15,2.9,0
20050108:1236,0,0,0,0,22.55,2.76,0
20050108:1336,0,0,0,0,22.11,2.55,0
20050108:1436,0,0,0,0,21.69,2.21,0
20050108:1536,0,0,0,0,21.23,2.34,0
20050108:1636,0,0,0,0,21.24,2.34,0
20050108:1736,0,0,0,0,21.25,3.03,0
20050108:1836,0,0,0,0,20.68,2.62,0
20050108:1936,0,0,0,0,20.01,2.9,0
20050108:2036,0,0,0,0,19.77,3.03,0
20050108:2136,0,2,0,2.62,19.75,2.9,0
