time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050106:0036,622,61,0,39.63,22.18,4,0
20050106:0136,807,65,0,52.15,25.48,3.31,0
20050106:0236,923,84,0,64.4,28.39,2.28,0
20050106:0336,1009,84,0,75.23,30.62,0.9,0
20050106:0436,936,147,0,78.68,32.22,0.28,0
20050106:0536,892,144,0,70.33,33.31,0.62,0
20050106:0636,660,221,0,58.53,33.85,1.66,0
20050106:0736,652,118,0,46.09,33.92,2.07,0
20050106:0836,397,147,0,33.58,33.46,2.62,0
20050106:0936,115,161,0,21.26,32.37,3.1,0
20050106:1036,92,42,0,9.3,30.73,2.83,0
20050106:1136,0,0,0,0,28.59,2.69,0
20050106:1236,0,0,0,0,26.79,2.48,0
20050106:1336,0,0,0,0,25.36,2.48,0
20050106:1436,0,0,0,0,24.06,2.69,0
20050106:1536,0,0,0,0,22.81,2.76,0
20050106:1636,0,0,0,0,21.63,2.28,0
20050106:1736,0,0,0,0,20.55,1.31,0
20050106:1836,0,0,0,0,18.9,0.83,0
20050106:1936,0,0,0,0,17.56,1.52,0
20050106:2036,0,0,0,0,16.15,1.31,0
20050106:2136,0,2,0,3.35,15.71,1.31,0
20050106:2236,0,20,0,15.03,19.16,1.31,0
20050106:2336,0,56,0,27.05,21.86,2.41,0
20050107:0036,0,161,0,39.49,23.86,3.1,0
20050107:0136,433,296,0,52.01,25.79,3.66,0
20050107:0236,729,211,0,64.25,27.2,4.34,0
20050107:0336,344,468,0,75.08,27.8,4.9,0
20050107:0436,703,294,0,78.59,27.83,5.1,0
20050107:0536,627,310,0,70.33,27.66,4.97,0
20050107:0636,688,203,0,58.56,27.96,4.28,0
20050107:0736,717,75,0,46.12,27.52,4,0
20050107:0836,439,121,0,33.62,26.71,3.79,0
20050107:0936,323,45,0,21.28,25.44,3.52,0
20050107:1036,62,58,0,9.31,23.75,3.1,0
20050107:1136,0,0,0,0,21.98,2.97,0
20050107:1236,0,0,0,0,20.34,2.97,0
20050107:1336,0,0,0,0,18.82,2.97,0
20050107:1436,0,0,0,0,17.5,2.69,0
20050107:1536,0,0,0,0,16.42,2.48,0
20050107:1636,0,0,0,0,15.62,2.34,0
20050107:1736,0,0,0,0,15.06,2.28,0
20050107:1836,0,0,0,0,14.94,2.34,0
20050107:1936,0,0,0,0,14.97,2.41,0
20050107:2036,0,0,0,0,14.76,2.28,0
20050107:2136,0,2,0,3.2,14.89,2.41,0
20050107:2236,4,91,0,14.89,15.69,3.03,0
20050107:2336,365,195,0,26.91,17.5,2.9,0
20050108:0036,511,131,0,39.35,19.88,2.69,0
20050108:0136,760,95,0,51.86,22.47,2.55,0
20050108:0236,903,96,0,64.11,24.78,2.34,0
20050108:0336,989,96,0,74.92,26.68,2.14,0
20050108:0436,882,181,0,78.49,28.13,2.07,0
20050108:0536,875,155,0,70.33,29.13,1.79,0
20050108:0636,745,167,0,58.58,29.67,1.45,0
20050108:0736,717,76,0,46.15,29.89,1.1,0
20050108:0836,560,42,0,33.64,29.58,1.1,0
20050108:0936,0,67,0,21.3,28.96,1.38,0
20050108:1036,39,66,0,9.32,28.02,1.38,0
20050108:1136,0,0,0,0,26.6,1.66,0
20050108:1236,0,0,0,0,25.19,2.21,0
20050108:1336,0,0,0,0,24,2.76,0
20050108:1436,0,0,0,0,22.84,3.38,0
20050108:1536,0,0,0,0,21.55,3.59,0
20050108:1636,0,0,0,0,20.61,3.59,0
20050108:1736,0,0,0,0,19.82,3.45,0
20050108:1836,0,0,0,0,19.07,3.17,0
20050108:1936,0,0,0,0,18.42,2.97,0
20050108:2036,0,0,0,0,18,2.83,0
20050108:2136,0,2,0,3.04,17.86,2.62,0
20050108:2236,0,67,0,14.74,19.5,2.69,0
20050108:2336,86,301,0,26.76,22.11,2.76,0
20050109:0036,171,305,0,39.21,25.11,2.55,0
20050109:0136,730,113,0,51.72,28.06,2.55,0
20050109:0236,803,162,0,63.95,29.93,3.03,0
20050109:0336,915,146,0,74.75,31.07,3.72,0
20050109:0436,917,158,0,78.38,31.85,4.34,0
20050109:0536,945,108,0,70.32,31.26,4.9,0
20050109:0636,544,290,0,58.6,30.91,4.9,0
20050109:0736,481,226,0,46.18,29.14,4.83,0
20050109:0836,8,230,0,33.67,27.62,4.62,0
20050109:0936,0,105,0,21.32,25.92,4.28,0
20050109:1036,62,58,0,9.33,23.78,3.66,0
20050109:1136,0,0,0,0,21.72,3.45,0
20050109:1236,0,0,0,0,19.99,3.38,0
20050109:1336,0,0,0,0,18.56,3.17,0
20050109:1436,0,0,0,0,17.4,3.31,0
20050109:1536,0,0,0,0,16.52,2.97,0
20050109:1636,0,0,0,0,15.84,2.83,0
20050109:1736,0,0,0,0,15.26,2.69,0
20050109:1836,0,0,0,0,14.61,2.55,0
20050109:1936,0,0,0,0,14.12,2.28,0
20050109:2036,0,0,0,0,13.56,1.86,0
20050109:2136,0,7,0,2.89,13.23,1.1,0
20050109:2236,0,73,0,14.59,15.08,1.24,0
20050109:2336,0,55,0,26.61,17.15,2.34,0
