time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20041231:2336,457.9,100.6,0,27.45,25.42,5.72,1
20050101:0036,551,123,0,40.02,27.72,5.17,0
20050101:0136,756,118,0,52.7,29.97,4.48,0
20050101:0236,913,111,0,65.21,31.84,3.45,0
20050101:0336,466,430,0,76.56,32.93,2.69,0
20050101:0436,802,251,0,80.15,33.62,2.69,0
20050101:0536,877,170,0,70.91,33.98,3.03,0
20050101:0636,672,225,0,58.71,34.5,3.03,0
20050101:0736,697,97,0,46.06,33.45,4.69,0
20050101:0836,27,263,0,33.41,30.33,5.79,0
20050101:0936,244,94,0,20.97,27.72,6.07,0
20050101:1036,65,50,0,8.92,24.92,5.86,0
20050101:1136,0,0,0,0,22.95,5.17,0
20050101:1236,0,0,0,0,22.02,4.62,0
20050101:1336,0,0,0,0,21.39,4.9,0
20050101:1436,0,0,0,0,20.87,5.1,0
20050101:1536,0,0,0,0,20.4,5.1,0
20050101:1636,0,0,0,0,20.02,5.03,0
20050101:1736,0,0,0,0,19.68,5.59,0
20050101:1836,0,0,0,0,19.3,6.07,0
20050101:1936,0,0,0,0,18.98,6.14,0
20050101:2036,0,0,0,0,18.66,6.14,0
20050101:2136,0,3,0,3.38,18.51,6.07,0
20050101:2236,0,20,0,15.17,19.02,6.21,0
20050101:2336,0,57,0,27.32,19.69,6.21,0
20050102:0036,7,265,0,39.89,20.84,6.21,0
20050102:0136,275,385,0,52.57,22.18,6.62,0
20050102:0236,494,366,0,65.08,23.57,6.76,0
20050102:0336,906,173,0,76.42,24.82,6.69,0
20050102:0436,753,281,0,80.11,25.43,7.38,0
20050102:0536,326,473,0,70.95,25.23,8.34,0
20050102:0636,99,456,0,58.76,24.69,8.69,0
20050102:0736,245,350,0,46.12,24.19,8.76,0
20050102:0836,422,136,0,33.47,23.38,8.83,0
20050102:0936,142,149,0,21.03,22.09,8.83,0
20050102:1036,30,63,0,8.96,20.64,8.14,0
20050102:1136,0,0,0,0,19.59,7.31,0
20050102:1236,0,0,0,0,18.79,6.55,0
20050102:1336,0,0,0,0,17.88,6.07,0
20050102:1436,0,0,0,0,16.94,5.72,0
20050102:1536,0,0,0,0,16.1,5.24,0
20050102:1636,0,0,0,0,15.42,4.76,0
20050102:1736,0,0,0,0,14.83,4.28,0
20050102:1836,0,0,0,0,14.24,4,0
20050102:1936,0,0,0,0,13.86,3.86,0
20050102:2036,0,0,0,0,13.53,3.66,0
20050102:2136,0,2,0,3.24,13.55,3.24,0
20050102:2236,82,104,0,15.04,15,3.79,0
20050102:2336,591,65,0,27.19,16.76,4.41,0
20050103:0036,590,95,0,39.76,18.57,4.07,0
20050103:0136,767,108,0,52.44,20.51,3.79,0
20050103:0236,861,144,0,64.95,22.36,3.79,0
20050103:0336,959,137,0,76.29,24.06,3.93,0
20050103:0436,996,125,0,80.05,25.38,4.07,0
20050103:0536,930,135,0,70.98,26.24,4.62,0
20050103:0636,820,132,0,58.82,25.28,6.41,0
20050103:0736,673,115,0,46.17,24.38,7.17,0
20050103:0836,475,103,0,33.52,23.18,7.66,0
20050103:0936,250,92,0,21.07,21.76,7.66,0
20050103:1036,69,49,0,9,20.4,6.83,0
20050103:1136,0,0,0,0,19.61,5.79,0
20050103:1236,0,0,0,0,19.3,5.24,0
20050103:1336,0,0,0,0,19.12,4.9,0
20050103:1436,0,0,0,0,18.83,4.62,0
20050103:1536,0,0,0,0,18.41,4.41,0
20050103:1636,0,0,0,0,17.77,4.28,0
20050103:1736,0,0,0,0,17.12,4.07,0
20050103:1836,0,0,0,0,16.05,4,0
20050103:1936,0,0,0,0,15.48,3.93,0
20050103:2036,0,0,0,0,15.06,3.66,0
20050103:2136,0,2,0,3.11,15.02,3.31,0
20050103:2236,93,98,0,14.91,16.49,4,0
20050103:2336,557,87,0,27.06,18.67,3.72,0
20050104:0036,588,94,0,39.63,20.99,2.83,0
20050104:0136,765,109,0,52.31,23.04,1.93,0
20050104:0236,893,122,0,64.81,24.74,2.41,0
20050104:0336,959,137,0,76.14,26.07,3.66,0
20050104:0436,996,125,0,79.99,26.68,4.69,0
