time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050106:0036,629,54,0,39.26,25.22,4.9,0
20050106:0136,804,66,0,51.84,28.14,3.52,0
20050106:0236,903,98,0,64.21,30.5,1.86,0
20050106:0336,989,98,0,75.3,32.03,1.38,0
20050106:0436,972,124,0,79.23,33.1,2.69,0
20050106:0536,927,122,0,70.86,33.74,3.59,0
20050106:0636,702,196,0,58.97,32.93,4.83,0
20050106:0736,691,94,0,46.45,31.98,6.07,0
20050106:0836,465,106,0,33.88,29.99,6.62,0
20050106:0936,46,174,0,21.49,28.04,5.93,0
20050106:1036,51,63,0,9.46,26.41,5.17,0
20050106:1136,0,0,0,0,25.11,4.28,0
20050106:1236,0,0,0,0,24.25,3.66,0
20050106:1336,0,0,0,0,23.53,2.76,0
20050106:1436,0,0,0,0,22.69,2.14,0
20050106:1536,0,0,0,0,21.58,2.76,0
20050106:1636,0,0,0,0,20.61,3.24,0
20050106:1736,0,0,0,0,19.86,3.52,0
20050106:1836,0,0,0,0,19.42,3.66,0
20050106:1936,0,0,0,0,18.8,3.59,0
20050106:2036,0,0,0,0,18.32,3.38,0
20050106:2136,0,2,0,2.83,18.23,3.1,0
20050106:2236,0,19,0,14.56,19.62,3.79,0
20050106:2336,0,56,0,26.62,21.32,4.21,0
20050107:0036,0,120,0,39.12,22.34,4.07,0
20050107:0136,30,371,0,51.7,23.24,4.14,0
20050107:0236,51,450,0,64.06,24.08,4.69,0
20050107:0336,186,513,0,75.14,24.45,5.38,0
20050107:0436,361,473,0,79.14,24.36,5.66,0
20050107:0536,255,485,0,70.87,24.23,5.66,0
20050107:0636,776,148,0,59,24.32,5.45,0
20050107:0736,641,128,0,46.49,23.92,5.38,0
20050107:0836,466,106,0,33.91,23.23,5.52,0
20050107:0936,266,83,0,21.51,22.22,5.45,0
20050107:1036,88,45,0,9.48,21.05,4.9,0
20050107:1136,0,0,0,0,20,4.34,0
20050107:1236,0,0,0,0,19.44,4.14,0
20050107:1336,0,0,0,0,19.01,4,0
20050107:1436,0,0,0,0,18.48,3.93,0
20050107:1536,0,0,0,0,17.86,4,0
20050107:1636,0,0,0,0,17.22,3.86,0
20050107:1736,0,0,0,0,16.7,3.72,0
20050107:1836,0,0,0,0,16.38,3.59,0
20050107:1936,0,0,0,0,16.14,3.59,0
20050107:2036,0,0,0,0,15.96,3.52,0
20050107:2136,0,2,0,2.68,16,3.38,0
20050107:2236,0,19,0,14.41,17.26,3.79,0
20050107:2336,0,95,0,26.48,19.16,3.45,0
20050108:0036,396,199,0,38.98,21.41,2.9,0
20050108:0136,742,106,0,51.56,23.66,2.34,0
20050108:0236,901,97,0,63.92,25.69,2.14,0
20050108:0336,987,98,0,74.98,27.29,2.48,0
20050108:0436,990,111,0,79.03,28.35,3.38,0
20050108:0536,945,110,0,70.86,28.59,4.69,0
20050108:0636,854,97,0,59.02,28.37,5.38,0
20050108:0736,641,128,0,46.52,26.96,6.41,0
20050108:0836,466,106,0,33.94,25.73,6.14,0
20050108:0936,0,107,0,21.54,24.64,5.24,0
20050108:1036,0,48,0,9.49,23.46,3.93,0
20050108:1136,0,0,0,0,22.73,3.17,0
20050108:1236,0,0,0,0,22.17,3.03,0
20050108:1336,0,0,0,0,21.86,2.83,0
20050108:1436,0,0,0,0,21.36,2.28,0
20050108:1536,0,0,0,0,20.85,1.72,0
20050108:1636,0,0,0,0,20.64,0.97,0
20050108:1736,0,0,0,0,20.38,1.86,0
20050108:1836,0,0,0,0,19.8,1.79,0
20050108:1936,0,0,0,0,19.2,2.69,0
20050108:2036,0,0,0,0,19.3,2.97,0
20050108:2136,0,2,0,2.53,19.63,2.97,0
20050108:2236,0,19,0,14.26,21.77,2.62,0
20050108:2336,164,285,0,26.33,24.26,2.76,0
20050109:0036,515,125,0,38.83,26.06,2.9,0
20050109:0136,727,114,0,51.42,27.19,3.24,0
20050109:0236,586,296,0,63.77,27.59,3.79,0
20050109:0336,828,203,0,74.82,27.67,4,0
20050109:0436,953,135,0,78.92,27.71,4.34,0
20050109:0536,699,268,0,70.85,27.14,5.38,0
20050109:0636,746,168,0,59.04,26.48,6.62,0
20050109:0736,0,143,0,46.54,24.82,7.1,0
20050109:0836,18,252,0,33.97,23.48,7.1,0
20050109:0936,0,64,0,21.55,22.06,6.69,0
20050109:1036,8,65,0,9.49,20.75,6.07,0
20050109:1136,0,0,0,0,19.65,5.79,0
20050109:1236,0,0,0,0,18.97,5.59,0
20050109:1336,0,0,0,0,18.45,5.38,0
20050109:1436,0,0,0,0,18.02,5.59,0
20050109:1536,0,0,0,0,17.48,5.1,0
20050109:1636,0,0,0,0,17.14,4.62,0
20050109:1736,0,0,0,0,16.71,4.48,0
20050109:1836,0,0,0,0,16.34,4.55,0
20050109:1936,0,0,0,0,16.09,4.41,0
20050109:2036,0,0,0,0,15.85,3.93,0
20050109:2136,1,0,0,2.37,15.85,3.38,1
20050109:2236,0,19,0,14.11,17.09,3.24,0
20050109:2336,0,114,0,26.19,18.57,3.79,0
20050110:0036,25,290,0,38.69,20.03,3.79,0
20050110:0136,658,158,0,51.27,21.37,3.38,0
20050110:0236,145,474,0,63.61,22.61,3.1,0
20050110:0336,878,170,0,74.65,23.57,3.93,0
20050110:0436,989,111,0,78.8,23.75,5.66,0
20050110:0536,945,110,0,70.83,23.04,6.55,0
20050110:0636,854,97,0,59.06,22.2,6.62,0
20050110:0736,693,94,0,46.57,21.54,6.41,0
20050110:0836,504,82,0,33.99,20.6,6.48,0
20050110:0936,288,70,0,21.57,19.61,5.59,0
20050110:1036,88,46,0,9.5,18.39,5.59,0
20050110:1136,0,0,0,0,17.41,5.1,0
20050110:1236,0,0,0,0,16.93,4.28,0
20050110:1336,0,0,0,0,16.62,3.79,0
20050110:1436,0,0,0,0,16.48,3.66,0
20050110:1536,0,0,0,0,16.55,3.72,0
20050110:1636,0,0,0,0,16.78,3.66,0
20050110:1736,0,0,0,0,16.86,3.66,0
20050110:1836,0,0,0,0,17.46,3.93,0
20050110:1936,0,0,0,0,17.72,3.86,0
20050110:2036,0,0,0,0,17.39,3.1,0
20050110:2136,0,0,0,2.21,17.07,2.62,1
20050110:2236,0,18,0,13.96,18.4,3.31,0
20050110:2336,13,255,0,26.04,19.6,4.07,0
20050111:0036,140,309,0,38.54,20.73,4.07,0
20050111:0136,416,300,0,51.12,21.98,3.93,0
20050111:0236,846,131,0,63.46,23.48,3.93,0
20050111:0336,966,110,0,74.47,24.82,4.07,0
20050111:0436,970,123,0,78.67,25.82,4.41,0
20050111:0536,944,110,0,70.81,26.33,4.83,0
20050111:0636,822,119,0,59.06,26.2,5.59,0
20050111:0736,693,94,0,46.58,25.27,6.48,0
20050111:0836,468,105,0,34,23.82,6.97,0
20050111:0936,288,71,0,21.58,22.35,6.76,0
20050111:1036,76,52,0,9.49,21.09,5.79,0
20050111:1136,0,0,0,0,20.1,5.1,0
20050111:1236,0,0,0,0,19.53,4.83,0
20050111:1336,0,0,0,0,19,4.55,0
20050111:1436,0,0,0,0,18.34,4,0
20050111:1536,0,0,0,0,17.65,3.66,0
20050111:1636,0,0,0,0,17,3.59,0
20050111:1736,0,0,0,0,16.4,3.24,0
20050111:1836,0,0,0,0,15.87,3.1,0
20050111:1936,0,0,0,0,15.36,2.97,0
20050111:2036,0,0,0,0,14.94,2.83,0
20050111:2136,0,0,0,2.05,14.82,2.55,1
20050111:2236,33,104,0,13.81,17.23,2.07,0
20050111:2336,552,69,0,25.88,20.46,1.79,0
20050112:0036,625,47,0,38.39,23.48,1.45,0
