time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20041231:2336,467.6,96.4,0,27.52,25.13,5.24,1
20050101:0036,563,116,0,40.11,27.48,4.76,0
20050101:0136,772,108,0,52.82,29.77,4.07,0
20050101:0236,932,99,0,65.36,31.68,2.9,0
20050101:0336,479,424,0,76.76,32.78,2,0
20050101:0436,98,529,0,80.29,33.44,1.86,0
20050101:0536,795,222,0,70.89,33.92,2,0
20050101:0636,804,141,0,58.63,34.59,2,0
20050101:0736,723,79,0,45.95,34.08,3.1,0
20050101:0836,1,192,0,33.28,32.02,4.62,0
20050101:0936,220,107,0,20.82,29.36,5.24,0
20050101:1036,39,60,0,8.75,26.44,4.9,0
20050101:1136,0,0,0,0,24.02,4.41,0
20050101:1236,0,0,0,0,22.65,4.14,0
20050101:1336,0,0,0,0,21.7,4.21,0
20050101:1436,0,0,0,0,21.02,4.28,0
20050101:1536,0,0,0,0,20.42,4.28,0
20050101:1636,0,0,0,0,19.94,4.28,0
20050101:1736,0,0,0,0,19.56,4.69,0
20050101:1836,0,0,0,0,19.17,4.97,0
20050101:1936,0,0,0,0,18.82,5.17,0
20050101:2036,0,0,0,0,18.48,5.24,0
20050101:2136,0,3,0,3.39,18.31,5.31,0
20050101:2236,0,20,0,15.22,18.94,5.59,0
20050101:2336,0,61,0,27.39,19.62,5.79,0
20050102:0036,0,213,0,39.98,20.83,5.72,0
20050102:0136,333,362,0,52.69,22.35,5.93,0
20050102:0236,609,302,0,65.23,23.79,6.14,0
20050102:0336,961,137,0,76.63,25.01,6.14,0
20050102:0436,754,281,0,80.25,25.81,6.48,0
20050102:0536,308,479,0,70.93,25.72,7.38,0
20050102:0636,75,449,0,58.69,25.06,7.66,0
20050102:0736,218,360,0,46.01,24.5,7.72,0
20050102:0836,465,108,0,33.34,23.64,7.72,0
20050102:0936,122,156,0,20.88,22.33,7.79,0
20050102:1036,41,60,0,8.8,20.79,7.03,0
20050102:1136,0,0,0,0,19.66,6.28,0
20050102:1236,0,0,0,0,18.93,5.45,0
20050102:1336,0,0,0,0,18.14,5.31,0
20050102:1436,0,0,0,0,17.21,5.03,0
20050102:1536,0,0,0,0,16.23,4.76,0
20050102:1636,0,0,0,0,15.37,4.41,0
20050102:1736,0,0,0,0,14.65,4,0
20050102:1836,0,0,0,0,13.93,3.59,0
20050102:1936,0,0,0,0,13.47,3.45,0
20050102:2036,0,0,0,0,13.1,3.24,0
20050102:2136,0,2,0,3.26,13.13,2.9,0
20050102:2236,113,90,0,15.09,14.57,3.59,0
20050102:2336,540,100,0,27.26,16.37,4.07,0
20050103:0036,569,109,0,39.85,18.31,3.66,0
20050103:0136,783,98,0,52.56,20.36,3.31,0
20050103:0236,912,111,0,65.1,22.32,3.24,0
20050103:0336,997,112,0,76.49,24.12,3.31,0
20050103:0436,1035,99,0,80.19,25.57,3.31,0
20050103:0536,966,111,0,70.96,26.58,3.52,0
20050103:0636,852,110,0,58.74,26.19,5.1,0
20050103:0736,673,114,0,46.06,25.47,5.93,0
20050103:0836,511,79,0,33.39,24.25,6.48,0
20050103:0936,264,82,0,20.92,22.52,6.62,0
20050103:1036,89,38,0,8.83,20.74,5.86,0
20050103:1136,0,0,0,0,19.5,4.97,0
20050103:1236,0,0,0,0,18.96,4.41,0
20050103:1336,0,0,0,0,18.75,3.93,0
20050103:1436,0,0,0,0,18.52,3.66,0
20050103:1536,0,0,0,0,18.25,3.52,0
20050103:1636,0,0,0,0,17.8,3.52,0
20050103:1736,0,0,0,0,17.23,3.52,0
20050103:1836,0,0,0,0,16.07,3.52,0
20050103:1936,0,0,0,0,15.5,3.45,0
20050103:2036,0,0,0,0,15.04,3.38,0
20050103:2136,0,2,0,3.12,15,3.17,0
20050103:2236,151,68,0,14.95,16.48,3.79,0
20050103:2336,528,106,0,27.12,18.7,3.66,0
20050104:0036,567,109,0,39.72,21.11,2.9,0
20050104:0136,781,98,0,52.43,23.29,1.86,0
20050104:0236,894,122,0,64.96,25.08,1.59,0
20050104:0336,978,124,0,76.35,26.63,2.69,0
20050104:0436,1016,111,0,80.13,27.51,3.86,0
20050104:0536,948,124,0,70.99,27.78,4.69,0
20050104:0636,853,110,0,58.79,27.27,5.1,0
20050104:0736,700,97,0,46.12,26.65,5.66,0
20050104:0836,485,96,0,33.44,25.38,6.07,0
20050104:0936,311,52,0,20.97,23.98,5.86,0
20050104:1036,70,48,0,8.87,22.45,5.24,0
20050104:1136,0,0,0,0,21.24,4.41,0
20050104:1236,0,0,0,0,20.81,3.86,0
20050104:1336,0,0,0,0,20.72,3.59,0
20050104:1436,0,0,0,0,20.48,4.21,0
20050104:1536,0,0,0,0,19.74,4.69,0
20050104:1636,0,0,0,0,18.78,4.9,0
20050104:1736,0,0,0,0,17.87,5.03,0
20050104:1836,0,0,0,0,16.9,5.17,0
20050104:1936,0,0,0,0,16.27,5.24,0
20050104:2036,0,0,0,0,15.8,5.24,0
20050104:2136,0,2,0,2.98,15.68,4.83,0
20050104:2236,182,48,0,14.81,16.73,5.93,0
20050104:2336,556,86,0,26.99,18.84,5.86,0
20050105:0036,587,94,0,39.58,21.43,5.45,0
20050105:0136,779,99,0,52.29,23.95,4.83,0
20050105:0236,910,110,0,64.83,26.12,4,0
20050105:0336,996,112,0,76.2,27.94,3.03,0
20050105:0436,1016,111,0,80.06,29.35,2.07,0
20050105:0536,967,111,0,71.01,30.39,1.17,0
20050105:0636,854,109,0,58.83,30.43,1.38,0
20050105:0736,700,98,0,46.17,30.65,2.48,0
20050105:0836,495,90,0,33.49,29.89,4,0
20050105:0936,271,79,0,21.01,28.38,4.48,0
20050105:1036,70,49,0,8.9,26.48,4.07,0
20050105:1136,0,0,0,0,24.53,3.59,0
20050105:1236,0,0,0,0,23.45,3.24,0
20050105:1336,0,0,0,0,22.87,2.83,0
20050105:1436,0,0,0,0,22.71,3.66,0
20050105:1536,0,0,0,0,22.58,4.97,0
20050105:1636,0,0,0,0,21.96,5.59,0
20050105:1736,0,0,0,0,21.07,5.86,0
20050105:1836,0,0,0,0,19.71,6,0
20050105:1936,0,0,0,0,19.09,6.07,0
20050105:2036,0,0,0,0,18.72,6.07,0
20050105:2136,1,0,0,2.84,18.75,6.07,1
20050105:2236,159,60,0,14.68,20.27,5.86,0
20050105:2336,494,125,0,26.85,23.25,6.21,0
20050106:0036,563,109,0,39.45,26.65,5.93,0
20050106:0136,778,98,0,52.15,30.08,5.17,0
20050106:0236,892,122,0,64.69,33.16,4,0
