time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20041231:2336,283,183.9,0,27.64,22.85,3.79,1
20050101:0036,453,175,0,40.08,26,3.45,0
20050101:0136,699,142,0,52.61,28.66,2.97,0
20050101:0236,827,152,0,64.9,30.37,3.24,0
20050101:0336,920,146,0,75.84,30.88,3.52,0
20050101:0436,918,160,0,79.16,31.15,3.66,0
20050101:0536,908,133,0,70.46,31.07,3.72,0
20050101:0636,803,128,0,58.54,30.83,3.52,0
20050101:0736,636,128,0,46.07,30.15,3.31,0
20050101:0836,461,105,0,33.56,29.19,3.45,0
20050101:0936,189,125,0,21.25,27.21,3.79,0
20050101:1036,75,50,0,9.32,25.21,3.24,0
20050101:1136,0,0,0,0,23.56,3.03,0
20050101:1236,0,0,0,0,22.38,3.03,0
20050101:1336,0,0,0,0,21.42,3.17,0
20050101:1436,0,0,0,0,20.39,3.24,0
20050101:1536,0,0,0,0,19.36,3.31,0
20050101:1636,0,0,0,0,18.52,3.38,0
20050101:1736,0,0,0,0,17.64,3.24,0
20050101:1836,0,0,0,0,17.46,3.72,0
20050101:1936,0,0,0,0,17,3.86,0
20050101:2036,0,0,0,0,16.71,3.79,0
20050101:2136,0,14,0,3.82,16.72,3.59,0
20050101:2236,0,21,0,15.49,17.08,3.59,0
20050101:2336,23,279,0,27.51,18.12,4.07,0
20050102:0036,49,315,0,39.95,19.74,4.48,0
20050102:0136,658,168,0,52.48,21.57,4.48,0
20050102:0236,778,184,0,64.77,23.65,4.62,0
20050102:0336,721,273,0,75.7,24.65,4.97,0
20050102:0436,954,136,0,79.11,24.9,5.59,0
20050102:0536,926,122,0,70.49,24.06,5.86,0
20050102:0636,819,118,0,58.6,23.19,5.66,0
20050102:0736,662,111,0,46.13,22.36,5.24,0
20050102:0836,480,94,0,33.62,21.24,5.24,0
20050102:0936,263,83,0,21.3,19.73,5.31,0
20050102:1036,88,44,0,9.36,17.9,4.55,0
20050102:1136,0,0,0,0,16.4,4.07,0
20050102:1236,0,0,0,0,15.49,3.86,0
20050102:1336,0,0,0,0,14.83,3.45,0
20050102:1436,0,0,0,0,14.4,2.97,0
20050102:1536,0,0,0,0,13.89,2.62,0
20050102:1636,0,0,0,0,13.45,2.34,0
20050102:1736,0,0,0,0,13.02,2.14,0
20050102:1836,0,0,0,0,12.45,2.14,0
20050102:1936,0,0,0,0,12.04,2,0
20050102:2036,0,0,0,0,11.73,1.86,0
20050102:2136,0,3,0,3.68,11.76,1.52,0
20050102:2236,0,20,0,15.36,14.27,1.38,0
20050102:2336,53,300,0,27.38,16.41,2.62,0
20050103:0036,14,280,0,39.82,18.14,2.83,0
20050103:0136,605,200,0,52.34,19.81,2.69,0
20050103:0236,874,120,0,64.64,21.43,2.55,0
20050103:0336,954,123,0,75.57,22.87,2.55,0
20050103:0436,991,111,0,79.05,24.14,2.69,0
20050103:0536,926,122,0,70.52,25.01,3.03,0
20050103:0636,851,97,0,58.65,24.94,3.72,0
20050103:0736,675,103,0,46.18,24.58,4.07,0
20050103:0836,481,94,0,33.67,23.92,4.28,0
20050103:0936,285,70,0,21.35,22.9,4.41,0
20050103:1036,76,51,0,9.4,21.25,4.07,0
20050103:1136,0,0,0,0,19.47,4.21,0
20050103:1236,0,0,0,0,18.04,4,0
20050103:1336,0,0,0,0,16.9,3.52,0
20050103:1436,0,0,0,0,15.99,3.1,0
20050103:1536,0,0,0,0,15.22,2.69,0
20050103:1636,0,0,0,0,14.5,2.41,0
20050103:1736,0,0,0,0,13.88,2.28,0
20050103:1836,0,0,0,0,13.16,2.14,0
20050103:1936,0,0,0,0,12.69,2.07,0
20050103:2036,0,0,0,0,12.33,2.07,0
20050103:2136,0,3,0,3.55,12.53,1.79,0
20050103:2236,0,20,0,15.22,15.07,1.66,0
20050103:2336,522,103,0,27.24,17.17,2.14,0
20050104:0036,135,318,0,39.68,19.41,1.93,0
20050104:0136,331,349,0,52.21,21.37,1.93,0
20050104:0236,856,131,0,64.5,23,2.21,0
20050104:0336,972,110,0,75.43,24.62,2.55,0
20050104:0436,1010,97,0,78.98,25.44,2.69,0
20050104:0536,962,97,0,70.54,26.13,3.03,0
20050104:0636,851,97,0,58.69,25.84,3.59,0
20050104:0736,702,86,0,46.23,25.67,3.86,0
20050104:0836,500,82,0,33.71,24.97,4.21,0
20050104:0936,286,69,0,21.39,23.66,4.55,0
20050104:1036,91,43,0,9.43,21.87,4.28,0
20050104:1136,0,0,0,0,20.07,4.41,0
20050104:1236,0,0,0,0,18.76,4.28,0
20050104:1336,0,0,0,0,17.72,4.14,0
20050104:1436,0,0,0,0,16.82,4.14,0
20050104:1536,0,0,0,0,15.99,4.21,0
20050104:1636,0,0,0,0,15.23,4.21,0
20050104:1736,0,0,0,0,14.61,4.14,0
20050104:1836,0,0,0,0,13.94,4,0
20050104:1936,0,0,0,0,13.53,3.93,0
20050104:2036,0,0,0,0,13.41,3.93,0
20050104:2136,0,2,0,3.41,13.94,3.45,0
20050104:2236,0,20,0,15.08,15.17,4.97,0
20050104:2336,193,281,0,27.11,17.09,4.62,0
20050105:0036,494,145,0,39.55,19.1,4.34,0
20050105:0136,707,132,0,52.07,21.36,3.86,0
20050105:0236,871,120,0,64.36,23.38,3.24,0
20050105:0336,971,110,0,75.28,25.16,2.48,0
20050105:0436,1009,98,0,78.9,26.59,1.79,0
20050105:0536,891,145,0,70.55,27.64,1.24,0
20050105:0636,852,97,0,58.73,27.84,1.03,0
20050105:0736,664,112,0,46.27,28.06,1.38,0
20050105:0836,483,93,0,33.76,27.77,1.79,0
20050105:0936,271,79,0,21.42,26.96,2,0
20050105:1036,93,42,0,9.46,25.4,1.79,0
20050105:1136,0,0,0,0,23.44,2.28,0
20050105:1236,0,0,0,0,22.44,3.1,0
20050105:1336,0,0,0,0,21.79,4,0
20050105:1436,0,0,0,0,20.8,4.62,0
20050105:1536,0,0,0,0,19.46,4.97,0
20050105:1636,0,0,0,0,18.22,5.03,0
20050105:1736,0,0,0,0,17.25,5.03,0
20050105:1836,0,0,0,0,16.2,5.1,0
20050105:1936,0,0,0,0,15.73,4.97,0
20050105:2036,0,0,0,0,15.52,4.76,0
20050105:2136,0,2,0,3.26,15.7,4.55,0
20050105:2236,0,20,0,14.94,17.32,4.55,0
20050105:2336,518,102,0,26.97,20.26,4.48,0
20050106:0036,619,61,0,39.41,23.58,3.86,0
20050106:0136,804,66,0,51.93,26.77,2.97,0
20050106:0236,920,86,0,64.21,29.5,1.52,0
20050106:0336,970,111,0,75.13,31.38,0.21,0
20050106:0436,972,123,0,78.82,32.69,1.03,0
20050106:0536,857,168,0,70.56,33.55,1.72,0
20050106:0636,730,178,0,58.76,33.28,2.83,0
20050106:0736,665,111,0,46.31,32.86,3.45,0
20050106:0836,314,196,0,33.79,31.77,3.79,0
20050106:0936,153,145,0,21.45,30.24,3.45,0
20050106:1036,93,43,0,9.48,28.31,3.1,0
20050106:1136,0,0,0,0,26.43,3.03,0
20050106:1236,0,0,0,0,25.08,2.69,0
20050106:1336,0,0,0,0,23.92,2.28,0
20050106:1436,0,0,0,0,22.93,2.14,0
20050106:1536,0,0,0,0,21.84,1.59,0
