time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20041231:2336,250.1,225.65,0,27.45,24.83,5.24,1
20050101:0036,462,169,0,39.95,27.22,4.76,0
20050101:0136,685,152,0,52.56,29.32,4.14,0
20050101:0236,827,153,0,64.97,30.77,3.79,0
20050101:0336,920,147,0,76.14,31.41,3.72,0
20050101:0436,955,136,0,79.71,31.77,3.72,0
20050101:0536,926,122,0,70.79,31.79,3.93,0
20050101:0636,743,168,0,58.73,31.69,4.21,0
20050101:0736,637,127,0,46.16,30.2,5.31,0
20050101:0836,470,100,0,33.58,28.14,5.93,0
20050101:0936,257,85,0,21.2,25.58,6.14,0
20050101:1036,85,44,0,9.21,23.49,5.38,0
20050101:1136,0,0,0,0,22.21,4.34,0
20050101:1236,0,0,0,0,21.64,4.41,0
20050101:1336,0,0,0,0,21.27,4.76,0
20050101:1436,0,0,0,0,20.7,5.03,0
20050101:1536,0,0,0,0,20.15,5.31,0
20050101:1636,0,0,0,0,19.67,5.17,0
20050101:1736,0,0,0,0,19.23,5.31,0
20050101:1836,0,0,0,0,18.96,6,0
20050101:1936,0,0,0,0,18.52,6.14,0
20050101:2036,0,0,0,0,18.21,5.93,0
20050101:2136,0,10,0,3.5,18.15,5.72,0
20050101:2236,0,20,0,15.23,18.51,5.66,0
20050101:2336,0,184,0,27.32,19.43,5.66,0
20050102:0036,114,323,0,39.82,20.6,5.86,0
20050102:0136,671,159,0,52.43,21.77,6.07,0
20050102:0236,778,184,0,64.84,23.47,6.07,0
20050102:0336,396,449,0,76.01,24.59,6.55,0
20050102:0436,955,136,0,79.66,24.96,7.79,0
20050102:0536,927,122,0,70.82,24.79,8.55,0
20050102:0636,804,129,0,58.79,24.34,8.55,0
20050102:0736,637,128,0,46.22,23.86,8.21,0
20050102:0836,471,100,0,33.64,22.97,8,0
20050102:0936,258,85,0,21.26,21.74,8,0
20050102:1036,86,44,0,9.25,20.2,7.03,0
20050102:1136,0,0,0,0,18.78,6.69,0
20050102:1236,0,0,0,0,17.61,6.21,0
20050102:1336,0,0,0,0,16.67,5.72,0
20050102:1436,0,0,0,0,15.95,5.1,0
20050102:1536,0,0,0,0,15.34,4.48,0
20050102:1636,0,0,0,0,14.91,4,0
20050102:1736,0,0,0,0,14.49,3.72,0
