,Time_of_Day,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,Morning,776.2985521123873,482.8288366077714,676.2154114215508,15.276028361538105
1,Lunch,1516.9522262112866,330.93201871688603,1578.5851068684326,10.470225720521602
2,Afternoon,485.80612703002254,396.5884969689848,364.9734910814083,12.547504764052588
