,Coordinates,Longitude,Latitude
0,"[145.23294, -37.92808]",145.23294,-37.92808
1,"[145.10887, -37.88683]",145.10887,-37.88683
2,"[145.03519, -37.83746]",145.03519,-37.83746
3,"[144.96624, -37.82649]",144.96624,-37.82649
4,"[144.82728, -37.82586]",144.82728,-37.82586
