,Date,Energy Output
0,2015-01-07,1317.1950341556712
1,2012-03-29,1844.5075783522984
2,2007-05-25,1669.3935851395963
3,2014-10-02,1922.8553022654683
4,2013-06-03,1479.7724544468647
5,2012-04-07,1918.611711861448
6,2013-09-09,1610.6374781168877
7,2009-10-24,1794.0845593566419
8,2008-07-07,1421.0979880933326
9,2011-02-15,1269.7334476512524
10,2009-12-16,1317.0199612233125
11,2008-01-23,1621.2238712288267
12,2008-08-25,1707.621707233941
13,2017-06-11,975.4424967221042
14,2013-10-07,1486.2581446988788
15,2012-05-13,1769.3169531373776
16,2007-12-02,1475.1241842250229
17,2011-07-29,1775.6794778250228
18,2006-04-10,1833.7492889438904
19,2020-05-19,1393.9764590461439
20,2014-08-31,1799.9453616695473
21,2019-06-24,1196.9359242396808
22,2009-08-14,1845.663681507063
23,2006-11-19,1850.8448750642876
24,2011-06-07,1597.1079474734697
25,2019-01-28,1336.1593418968484
26,2018-07-29,1696.463356110313
27,2018-06-10,733.9416498535085
28,2006-08-23,1925.9521743019513
29,2018-05-03,1594.5569167434576
30,2014-07-25,1409.7867756287162
31,2017-05-10,1728.4667599923007
32,2012-08-29,1893.5835821199767
33,2015-06-24,1321.3867086275773
34,2016-09-26,1962.6534904932926
35,2013-12-08,1414.5583808817414
36,2015-06-20,1499.2448243541048
37,2013-08-30,1908.075083269115
38,2008-08-17,1979.7177642430413
39,2015-08-05,1498.276264197248
40,2016-07-10,950.2117816095896
41,2006-05-16,960.17824295526
42,2011-08-25,1952.2389521473651
43,2017-09-02,1955.415315978473
44,2015-12-14,1340.4295924644773
45,2006-10-10,1490.3848275318824
46,2010-02-10,1538.7192113124695
47,2007-09-01,1365.511605786591
48,2010-10-06,1564.8586692341523
49,2016-10-24,1812.4418242478241
50,2013-02-02,1100.6313421854163
51,2006-03-02,1675.9647467612567
52,2007-06-11,1468.3376844457255
53,2006-11-27,1620.7507423756815
54,2015-06-03,1569.6473100488843
55,2007-04-11,1926.62891537125
56,2019-11-04,1652.0018885577463
57,2013-05-01,1743.1257318962257
58,2017-10-11,1401.380140927536
59,2020-05-09,1616.1027044194334
60,2008-01-15,1683.5434544118039
61,2010-05-19,1544.1349256745773
62,2011-10-17,1919.037775259847
