,Time_of_Day,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,Morning,132.27124554801802,107.5054948273503,111.79743406385086,3.4013233334236155
1,Lunch,315.22359079330244,73.12700869601355,324.6182492799689,2.313636166976126
2,Afternoon,144.10143601369344,113.80412232293959,115.71867279458999,3.600603088413786
