,Date,Energy Output
0,2007-12-06,6012.143413661385
1,2015-01-19,4146.665441150558
2,2010-09-16,5215.614319896611
3,2006-05-22,1145.352573919924
4,2006-04-02,3966.8037060292877
5,2013-01-28,6752.56288189828
6,2012-12-04,7200.56120146436
7,2007-07-04,797.0095855971807
8,2011-01-28,6221.28173502485
9,2013-08-13,1761.835180092776
10,2006-04-14,4484.820030053828
11,2014-05-16,2066.228745633977
12,2011-03-20,3788.613625995544
13,2014-01-11,6989.193181683117
14,2010-09-13,4595.966655119858
15,2011-12-04,5973.65573712883
16,2016-05-06,2797.2098166651535
17,2012-01-18,6025.490936651464
18,2008-06-11,1534.8961843036332
19,2016-09-21,4916.136911104741
20,2014-03-21,3443.197430954217
21,2006-07-17,2283.7902597642465
22,2011-01-27,6807.612860089351
23,2009-03-23,3205.24554746288
24,2011-06-25,1594.5599196987732
25,2013-04-06,3616.1815666419993
26,2007-04-08,2138.801136855278
27,2016-11-01,6712.067584479592
28,2007-08-24,1424.9498653004428
29,2009-08-03,2601.0829732706743
30,2009-08-18,1543.7458225606697
31,2006-06-21,1141.362156742912
32,2010-03-15,3375.532653759417
33,2008-10-29,3373.2137316769404
34,2014-05-02,2246.1869609719743
35,2014-03-07,5714.191797152766
36,2016-05-23,1333.4905873799412
37,2013-07-12,1935.235692405896
38,2016-03-13,4508.193421250934
39,2014-08-14,559.3548162874621
40,2014-08-27,1914.9890766388548
41,2011-01-02,7018.795997709377
42,2006-12-06,7049.072979031223
43,2012-06-10,645.596818929182
44,2014-06-07,648.1453121469295
45,2006-04-30,3662.79673724105
46,2012-09-11,3220.9106183078193
47,2006-07-22,1079.628313194068
48,2006-12-17,5299.657820142126
49,2013-11-11,6915.155912192665
50,2006-02-22,3079.502076210922
51,2007-08-08,1581.4952665101705
52,2006-01-30,3758.3141108494456
53,2006-10-22,2896.3442495106783
54,2010-05-23,1286.223142532459
55,2009-06-21,1806.8853627106805
56,2010-06-14,1698.9213338964446
57,2013-09-05,2261.0666034000074
58,2009-02-16,3396.1400594491424
59,2006-11-04,4162.71982722102
60,2009-05-03,2378.4001248429563
61,2008-09-28,4025.7150613161743
62,2007-06-23,748.3926647495903
63,2013-03-19,1158.5696891626308
64,2016-08-21,1170.7334985760465
65,2013-01-14,2528.060481238088
66,2016-09-22,1761.6516315219776
67,2016-05-14,2504.188382385474
68,2009-06-10,2055.7842499242442
69,2010-12-30,6502.986747369868
70,2009-06-20,883.4415646132363
71,2014-06-27,2110.398454529891
72,2007-07-24,1339.5462320343684
73,2009-01-18,1545.7334982977834
74,2016-04-02,4639.360458097687
75,2013-12-25,6821.2364934627985
76,2015-07-05,1534.4718847906513
77,2008-03-24,4967.960966059763
78,2014-07-19,1841.8447826674155
79,2016-03-22,2631.0254294181295
80,2007-06-04,2242.960768286901
81,2006-08-14,1229.0281357615725
82,2009-10-09,2959.5705463704357
83,2014-02-01,6016.387110792071
84,2013-12-12,7169.246198542942
85,2015-05-31,2444.522091472329
86,2014-01-17,6999.398562278647
87,2016-06-23,716.2306720153534
88,2012-01-22,3391.619664732294
89,2006-06-01,2316.6303028367442
90,2010-05-06,2370.909088423141
91,2011-07-30,1917.1622734986304
92,2008-08-16,3804.304466201635
93,2008-11-12,5973.53065803344
94,2011-12-29,6922.651943765613
95,2011-12-30,3966.257837726111
96,2009-08-01,2619.060287634254
97,2014-09-02,1734.0794546066122
98,2012-12-07,3381.487374992161
99,2010-04-21,1811.183632408748
100,2006-10-01,4634.943233828778
101,2015-05-09,3197.1394792630526
102,2016-11-29,5691.133068801254
103,2012-11-29,6349.296654331609
104,2014-05-28,1890.943138923547
105,2013-10-02,5879.113347784211
106,2016-07-05,1044.8110035861707
107,2016-10-09,4262.071616965434
108,2009-08-15,1427.4208710651708
109,2007-11-01,6597.857876178905
110,2013-10-25,6540.841681792992
111,2006-04-03,4091.701827432632
112,2008-10-27,5823.743925079274
113,2008-03-28,2156.538209030441
114,2012-10-28,6495.637163916936
115,2007-10-15,6429.361714289252
116,2008-05-22,1313.5846134938556
117,2015-01-18,6507.456971690283
118,2008-09-08,2791.6766473026955
119,2007-11-13,6898.897749169213
120,2013-04-18,2304.4958247276727
121,2015-09-05,2546.7590549964384
122,2012-07-25,1802.3184639835724
123,2007-07-18,2191.809973143949
124,2007-08-01,1621.747673472903
125,2007-11-26,7089.174528873008
126,2011-06-07,2385.209892155519
127,2014-08-12,2754.682843264995
128,2015-06-27,2124.9784282114483
129,2007-07-29,1288.2602796632475
130,2010-07-21,2262.7058047088317
131,2013-01-22,6855.42526646272
132,2013-02-19,6259.274056753337
133,2006-09-26,4841.864122824853
134,2011-06-21,394.3606000852211
135,2014-07-22,2231.7690283363736
136,2008-12-24,6504.3216944748365
137,2010-02-23,2303.163704541164
138,2007-07-25,577.7953028661419
139,2010-06-26,1542.8080671911905
140,2006-11-09,5859.359173194949
141,2010-12-07,5344.332474885815
142,2015-06-29,2029.320393967419
143,2015-12-24,7019.701172252207
144,2016-10-17,4232.580354701507
145,2012-05-21,2446.530384551362
146,2012-01-10,7040.995856837804
147,2012-12-16,5063.078001628712
148,2013-09-25,4842.704013529871
149,2007-03-01,2067.83457059808
150,2007-10-10,2373.889697390733
151,2006-11-25,6291.785281108316
152,2013-04-01,4584.6379988450335
153,2014-06-18,1646.2428983422092
154,2013-12-26,7144.940161730886
155,2015-10-21,6830.098100217404
156,2006-04-08,4738.298029688786
157,2015-12-20,5665.535717010159
158,2009-02-01,6422.712615634269
159,2015-03-15,3350.1226035827976
160,2011-06-18,1144.8856741036502
161,2008-05-31,309.46261654229886
162,2012-09-21,1951.5260550547378
163,2006-06-16,2190.1074315616197
164,2006-06-19,1559.3849700684402
165,2015-07-16,2253.6047224591025
166,2011-02-26,5778.128706926987
167,2015-08-01,2471.9690146240737
168,2008-08-05,1700.3710820972112
169,2015-08-08,1078.6887420593473
170,2007-03-22,1149.7100553856117
171,2009-10-30,5725.529556268966
172,2006-05-09,2159.8203314690363
173,2006-11-29,5913.197681602716
174,2014-03-11,5784.844424830507
175,2010-07-28,1147.0888117649883
176,2006-07-06,2098.8104999731104
177,2016-04-28,1850.5415454584881
178,2009-03-08,4079.3178790148813
179,2015-09-24,4253.433649970887
180,2014-12-29,7194.5450040137675
181,2007-10-04,5905.872915540877
182,2016-10-24,4646.353967272479
183,2016-03-03,4667.018095333838
184,2015-03-19,2391.6421956723207
185,2012-03-15,5634.607262434378
186,2009-02-10,6492.891328540494
187,2015-09-15,1609.286438362219
188,2011-06-20,764.7409349839261
189,2011-04-09,4780.93226062487
190,2015-06-02,1815.0594927081204
191,2014-09-20,5707.808648994389
192,2009-05-17,3043.081642458709
193,2016-03-27,3615.9771745227454
194,2015-01-06,4310.405648700199
195,2011-08-08,1278.4422688534057
196,2012-02-23,2410.041015707917
197,2013-01-16,2477.849658088724
198,2013-10-11,3812.4848799374377
199,2009-03-07,5368.310560304896
200,2006-10-21,6171.264298255932
201,2013-09-27,1850.121195064905
202,2014-12-24,7304.215154788693
203,2011-04-15,4572.696366220924
